Rv#,Product,Gene ,Sub-classification,MT,MT#,#TA,TotalTA/Group
2136,putative bacitracin resistance protein],,Cell Process: Efflux proteins,MT2194,2194,14,
2209,probable drug efflux protein,,Cell Process: Efflux proteins,MT2265,2265,25,
2333,probable tetracenomycin C resistance protein,,Cell Process: Efflux proteins,MT2395,2395,22,
2459,probable drug efflux protein,,Cell Process: Efflux proteins,MT2534,2534,21,
2846,putative efflux protein,efpA,Cell Process: Efflux proteins,MT2912,2912,32,
2936,similar to duanorubicin resistance ABC-transporter,drrA,Cell Process: Efflux proteins,MT3006,3006,19,
2937,similar to duanorubicin resistance transmembrane ,drrB,Cell Process: Efflux proteins,MT3007,3007,23,
2938,similar to duanorubicin resistance transmembrane ,drrC,Cell Process: Efflux proteins,MT3008,3008,26,
2994,probable fluoroquinolone efflux protein,,Cell Process: Efflux proteins,MT3072,3072,20,
3065,resistance to ethidium bromide],emrE,Cell Process: Efflux proteins,MT3150.1,3150.1,9,481
2790,non-specific lipid transport protein,ltp1,Cell Process: Fatty acid transport,MT2860,2860,23,
3540,non-specific lipid transport protein,ltp2,Cell Process: Fatty acid transport,MT3644,3644,18,41
638,SecE preprotein translocase,secE,Cell Process: Protein and peptide secretion,MT0667,667,7,
732,SecY subunit of preprotein translocase,secY,Cell Process: Protein and peptide secretion,MT0756.1,756.1,28,
1440,protein-export membrane protein SecG,secG,Cell Process: Protein and peptide secretion,MT1485,1485,5,
1539,lipoprotein signal peptidase,IspA,Cell Process: Protein and peptide secretion,MT1591,1591,9,
1614,prolipoprotein diacylglyceryl transferse,Igt,Cell Process: Protein and peptide secretion,MT1649,1649,19,
1821,SecA; preprotein translocase subunit,secA2,Cell Process: Protein and peptide secretion,MT1869,1869,39,
2462,chaperone protein; similar to trigger factor,tig,Cell Process: Protein and peptide secretion,MT2537,2537,19,
2586,protein-export membrane protein ,secF,Cell Process: Protein and peptide secretion,MT2663,2663,18,
2587,protein-export membrane protein ,secD,Cell Process: Protein and peptide secretion,MT2664,2664,23,
2813,probable general secretion pathway protein,,Cell Process: Protein and peptide secretion,MT2880,2880,11,
2903,signal peptidase I,lepB,Cell Process: Protein and peptide secretion,MT2971,2971,12,
2916,signal recognition particle protein,ffh,Cell Process: Protein and peptide secretion,MT2984,2984,10,
3240,SecA; preprotein translocase subunit,secA,Cell Process: Protein and peptide secretion,MT3338,3338,46,
379,probable transport protein SecE/Sec61-g family,sec,Cell Process: Protein and peptide secretion,,,,246
346,probable aromatic amino acid permease,aroP2,Cell Process: Transport/Binding: amino acids,MT0361,361,29,
411,putative glutamine binding protein,glnH,Cell Process: Transport/Binding: amino acids,MT0424,424,9,
522,probable 4-amino butyrate transporter,gabP,Cell Process: Transport/Binding: amino acids,MT0544,544,23,
917,glycine betaine transporter,betP,Cell Process: Transport/Binding: amino acids,MT0942,942,42,
1280,probable oligopeptide transport protein,oppA,Cell Process: Transport/Binding: amino acids,MT1317,1317,26,
1281,probable peptide transport protein,oppD,Cell Process: Transport/Binding: amino acids,MT1318,1318,28,
1282,oligopeptide transport system permease,oppC,Cell Process: Transport/Binding: amino acids,MT1319,1319,16,
1283,oligopeptide transport system ,oppB,Cell Process: Transport/Binding: amino acids,MT1320,1320,21,
1704,transport of D-alanine; D-serine and glycine,cycA,Cell Process: Transport/Binding: amino acids,MT1744,1744,21,
2127,L-asparagine permease,ansP,Cell Process: Transport/Binding: amino acids,MT2186,2186,25,
2320,arginine/ornithine transporter,rocE,Cell Process: Transport/Binding: amino acids,MT2383,2383,28,
2564,probable ATP-binding transport protein,glnQ,Cell Process: Transport/Binding: amino acids,MT2640,2640,14,
3253,probable cationic amino acid transporter,,Cell Process: Transport/Binding: amino acids,MT3351,3351,25,
3663,probable ABC-transporter,dppD,Cell Process: Transport/Binding: amino acids,MT3764,3764,25,
3664,probable peptide transport system permease,dppC,Cell Process: Transport/Binding: amino acids,MT3765,3765,14,
3665,probable peptide transport system permease,dppB,Cell Process: Transport/Binding: amino acids,MT3766,3766,17,
3666,probable peptide transport system permease,dppA,Cell Process: Transport/Binding: amino acids,MT3767,3767,23,386
143,probable chloride channel,,Cell Process: Transport/Binding: Anions,MT0151,151,27,
261,nitrite extrusion protein 1,narK3,Cell Process: Transport/Binding: Anions,MT0274,274,24,
267,similar to nitrite extrusion protein 2,narU,Cell Process: Transport/Binding: Anions,MT0280,280,15,
545,low-affinity inorganic phosphate transporter,pitA,Cell Process: Transport/Binding: Anions,MT0570,570,14,
820,phosphate transport system ABC transporter,phoT,Cell Process: Transport/Binding: Anions,MT0842,842,12,
821,phosphate transport system regulator ,phoY2,Cell Process: Transport/Binding: Anions,MT0843,843,6
928,PstS component of phosphate uptake,phoS2,Cell Process: Transport/Binding: Anions,MT0955,955,24
929,membrane-bound component of phosphate transport,pstC2,Cell Process: Transport/Binding: Anions,MT0956,956,17
930,PstA component of phosphate uptake,pstA1,Cell Process: Transport/Binding: Anions,MT0957,957,16
932,PstS component of phosphate uptake,pstS,Cell Process: Transport/Binding: Anions,MT0959,959,25
933,ABC transport component of phosphate uptake,pstB,Cell Process: Transport/Binding: Anions,MT0960,960,12
934,PstS component of phosphate uptake,phoS1,Cell Process: Transport/Binding: Anions,MT0961,961,21
935,PstC component of phosphate uptake,pstC ,Cell Process: Transport/Binding: Anions,MT0962,962,12
936,PstA component of phosphate uptake,pstA2,Cell Process: Transport/Binding: Anions,MT0963,963,20
1707,probable sulphate permease,,Cell Process: Transport/Binding: Anions,MT1748,1748,22
1737,nitrite extrusion protein ,narK2,Cell Process: Transport/Binding: Anions,MT1779,1779,15
1739,possible sulphate transporter,,Cell Process: Transport/Binding: Anions,MT1781,1781,42
1857,molybdate binding protein ,modA,Cell Process: Transport/Binding: Anions,MT1905,1905,6
1858,transport system permease; molybdate uptake,modB,Cell Process: Transport/Binding: Anions,MT1906,1906,19
1859,molybdate uptake ABC-transporter,modC,Cell Process: Transport/Binding: Anions,MT1907,1907,16
1860,precursor of Apa (45/47 kD secreted protein),modD,Cell Process: Transport/Binding: Anions,MT1908,1908,16
2281,phosphate permease,pitB,Cell Process: Transport/Binding: Anions,MT2339,2339,26,
2329,probable nitrite extrusion protein,narK1,Cell Process: Transport/Binding: Anions,MT2391,2391,28,
2397,sulphate transport ATP-binding protein,cysA,Cell Process: Transport/Binding: Anions,MT2468,2468,15,
2398,sulphate transport system permease protein,cysW,Cell Process: Transport/Binding: Anions,MT2469,2469,18,
2399,sulphate transport system permease protein,cysT,Cell Process: Transport/Binding: Anions,MT2470,2470,10,
2400,sulphate binding precursor,subI,Cell Process: Transport/Binding: Anions,MT2471,2471,19,
2643,probable arsenical pump,arsC,Cell Process: Transport/Binding: Anions,MT2720,2720,30,
2684,probable arsenical pump,arsA,Cell Process: Transport/Binding: Anions,MT2758,2758,20,
2685,probable arsenical pump,arsB,Cell Process: Transport/Binding: Anions,MT2759,2759,14,
3301,phosphate transport system regulator ,phoY1,Cell Process: Transport/Binding: Anions,MT3400,3400,10,
3578,probable arsenical pump,arsB2,Cell Process: Transport/Binding: Anions,MT3684,3684,15,
3679,probable anion transporter,,Cell Process: Transport/Binding: Anions,MT3781,3781,15,
3680,probable anion transporter,,Cell Process: Transport/Binding: Anions,MT3782,3782,20,621
1200,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT1238,1238,29,
1236,membrane protein probably involved in sugar,sugA,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT1274,1274,19,
1237,sugar transport protein,sugB,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT1275,1275,12,
1238,ABC transporter component of sugar uptake system,sugC,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT1276,1276,25,
1902,probable sialic acid transporter,nanT,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT1953,1953,32,
2038,probable ABC sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2098,2098,17,
2039,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2099,2099,16,
2040,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2100,2100,18,
2041,probable sugar transporter,,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2101,2101,25,
2316,sugar transport protein,uspA,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2379,2379,13,
2317,sugar transport protein,uspE,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2380,2380,14,
2318,sugar transport protein,uspC,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2381,2381,30,
2443,C4-dicarboxylate transport protein,dctA,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2519,2519,21,
2832,sn-glycerol-3-phosphate transport ATP binding,ugpC,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2898,2898,10,
2833,sn-glycerol-3-phosphate binding periplasmic,ugpB,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2899,2899,18,
2834,sn-glycerol-3-phosphate transport system protein,ugpE,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2900,2900,9,
2835,sn-glycerol-3-phosphate permease,ugpA,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT2901,2901,16,
3331,probable sugar transporter,sugI,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT3434,3434,25,
3476,sugar transport protein,kgtP,Cell Process: Transport/Binding: carbohydrates; organic acids and alcohols,MT3580,3580,38,387
92,cation-transporting ATPase,ctpA,Cell Process: Transport/Binding: cations,MT0101,101,30
103,cation-transporting ATPase,ctpB,Cell Process: Transport/Binding: cations,MT0112,112,30
107,probable Mg transport ATPase,ctpI,Cell Process: Transport/Binding: cations,MT0116,116,63
265,iron transport protein FeIII dicitrate transporter,fecB2,Cell Process: Transport/Binding: cations,MT0278,278,9
362,putative Mg ion transporter,mgtE,Cell Process: Transport/Binding: cations,MT0378,378,16
425,C-terminal region putative cation-transporting,ctpH,Cell Process: Transport/Binding: cations,MT0440,440,40
908,probable cation transport ATPase,ctpE,Cell Process: Transport/Binding: cations,MT0931,931,30
924,transmembrane protein belonging to Nramp family,nramp,Cell Process: Transport/Binding: cations,MT0951,951,20
969,cation transport ATPase,ctpV,Cell Process: Transport/Binding: cations,MT0997,997,21
1029,potassium-transporting ATPase A chain,kdpA,Cell Process: Transport/Binding: cations,MT1058,1058,28
1030,potassium-transporting ATPase B chain,kdpB,Cell Process: Transport/Binding: cations,MT1059,1059,15
1031,potassium-transporting ATPase C chain,kdpC,Cell Process: Transport/Binding: cations,MT1060,1060,10
1239,probable magnesium and cobalt transport protein,corA,Cell Process: Transport/Binding: cations,MT1277,1277,25
1469,probable cadmium-transporting ATPase,ctpD,Cell Process: Transport/Binding: cations,MT1515,1515,20
1607,putative calcium/proton antiporter,chaA,Cell Process: Transport/Binding: cations,MT1642,1642,8
1811,probable Mg transport ATPase C,mgtC,Cell Process: Transport/Binding: cations,MT1859,1859,16
1992,probable cation transport ATPase,ctpG,Cell Process: Transport/Binding: cations,MT2048,2048,5,
1997,probable cation transport ATPase,ctpF,Cell Process: Transport/Binding: cations,MT2053,2053,19,
2287,probable Na+/H+ exchanger,yjcE,Cell Process: Transport/Binding: cations,MT2345,2345,20,
2691,probable potassium uptake protein,trkA,Cell Process: Transport/Binding: cations,MT2765,2765,13,
2692,probable potassium uptake protein,trkB,Cell Process: Transport/Binding: cations,MT2766,2766,3,
2723,probable membrane protein; tellurium resistance,,Cell Process: Transport/Binding: cations,MT2795,2795,27,
2856,probable nickel transport protein,nicT,Cell Process: Transport/Binding: cations,MT2923,2923,15,
2877,possible mercury resistance transport system,,Cell Process: Transport/Binding: cations,MT2945,2944,3,
2920,putative ammonium transporter,amt,Cell Process: Transport/Binding: cations,MT2988,2988,20,
3044,putative FeIII-dicitrate transporter,fecB,Cell Process: Transport/Binding: cations,MT3129,3129,14,
3162,probable membrane protein  ,,Cell Process: Transport/Binding: cations,MT3251,3251,6,
3236,probable glutathione-regulated potassium-efflux,kefB,Cell Process: Transport/Binding: cations,MT3333,3333,14,
3237,possible potassium channel protein,,Cell Process: Transport/Binding: cations,MT3334,3334,8,
3270,cation transport ATPase,ctpC,Cell Process: Transport/Binding: cations,MT3370,3370,17,
3743,probable cation transport ATPase,,Cell Process: Transport/Binding: cations,MT3851,3851,31,596
4,conserved hypothetical protein,,Conserved Hypotheticals,MT0004,4,7,
7,conserved hypothetical protein,,Conserved Hypotheticals,MT0007,7,10
19,conserved hypothetical protein,,Conserved Hypotheticals,MT0022,22,13
20,conserved hypothetical protein,,Conserved Hypotheticals,MT0023,23,51
21,conserved hypothetical protein,,Conserved Hypotheticals,MT0024,24,22
22,conserved hypothetical protein,,Conserved Hypotheticals,MT0025,25,3
25,conserved hypothetical protein,,Conserved Hypotheticals,MT0028,28,4
26,conserved hypothetical protein,,Conserved Hypotheticals,MT0029,29,14
27,conserved hypothetical protein,,Conserved Hypotheticals,MT0030,30,5
29,conserved hypothetical protein,,Conserved Hypotheticals,MT0033,33,9
31,conserved hypothetical protein,,Conserved Hypotheticals,MT0035,35,1
36,conserved hypothetical protein,,Conserved Hypotheticals,MT0041,41,4
38,conserved hypothetical protein,,Conserved Hypotheticals,MT0043,43,7
39,conserved hypothetical protein,,Conserved Hypotheticals,MT0044,44,4
40,conserved hypothetical protein,,Conserved Hypotheticals,MT0046,46,9
42,conserved hypothetical protein,,Conserved Hypotheticals,MT0048,48,5
46,conserved hypothetical protein,,Conserved Hypotheticals,MT0052,52,16
47,conserved hypothetical protein,,Conserved Hypotheticals,MT0053,53,7
52,conserved hypothetical protein,,Conserved Hypotheticals,MT0058,58,7
65,conserved hypothetical protein,,Conserved Hypotheticals,MT0071,71,8
74,conserved hypothetical protein,,Conserved Hypotheticals,MT0080,80,19
91,conserved hypothetical protein,,Conserved Hypotheticals,MT0100,100,11
97,conserved hypothetical protein,,Conserved Hypotheticals,MT0106,106,26
106,conserved hypothetical protein,,Conserved Hypotheticals,MT0115,115,12
115,conserved hypothetical protein,,Conserved Hypotheticals,MT0123,123,18
116,conserved hypothetical protein,,Conserved Hypotheticals,MT0125,125,14
127,conserved hypothetical protein,,Conserved Hypotheticals,MT0135,135,30
130,conserved hypothetical protein,,Conserved Hypotheticals,MT0138,138,4
138,conserved hypothetical protein,,Conserved Hypotheticals,MT0146,146,6
140,conserved hypothetical protein,,Conserved Hypotheticals,MT0148,148,15
145,conserved hypothetical protein,,Conserved Hypotheticals,MT0153,153,15
146,conserved hypothetical protein,,Conserved Hypotheticals,MT0154,154,16
150,conserved hypothetical protein,,Conserved Hypotheticals,MT0158,158,4
164,conserved hypothetical protein,,Conserved Hypotheticals,MT0173,173,8
175,conserved hypothetical protein,,Conserved Hypotheticals,MT0184,184,9
176,conserved hypothetical protein,,Conserved Hypotheticals,MT0185,185,15
177,conserved hypothetical protein,,Conserved Hypotheticals,MT0186,186,12
178,conserved hypothetical protein,,Conserved Hypotheticals,MT0187,187,11
181,conserved hypothetical protein,,Conserved Hypotheticals,MT0190,190,15
184,conserved hypothetical protein,,Conserved Hypotheticals,MT0193,193,11
185,conserved hypothetical protein,,Conserved Hypotheticals,MT0194,194,10
190,conserved hypothetical protein,,Conserved Hypotheticals,MT0200,200,3
192,conserved hypothetical protein,,Conserved Hypotheticals,MT0202,202,13
197,conserved hypothetical protein,,Conserved Hypotheticals,MT0207,207,31
199,conserved hypothetical protein,,Conserved Hypotheticals,MT0209,209,12
201,conserved hypothetical protein,,Conserved Hypotheticals,MT0211,211,8
207,conserved hypothetical protein,,Conserved Hypotheticals,MT0217,217,9
208,conserved hypothetical protein,,Conserved Hypotheticals,MT0218,218,12
216,conserved hypothetical protein,,Conserved Hypotheticals,MT0226,226,23
221,conserved hypothetical protein,,Conserved Hypotheticals,MT0231,231,26
229,conserved hypothetical protein,,Conserved Hypotheticals,MT0239,239,16
230,conserved hypothetical protein,,Conserved Hypotheticals,MT0240,240,18
235,conserved hypothetical protein,,Conserved Hypotheticals,MT0246,246,27
239,conserved hypothetical protein,,Conserved Hypotheticals,MT0253,253,2
258,conserved hypothetical protein,,Conserved Hypotheticals,MT0271,271,8
259,conserved hypothetical protein,,Conserved Hypotheticals,MT0272,272,7
263,conserved hypothetical protein,,Conserved Hypotheticals,MT0276,276,16
264,conserved hypothetical protein,,Conserved Hypotheticals,MT0277,277,11
266,conserved hypothetical protein,,Conserved Hypotheticals,MT0279,279,42
269,conserved hypothetical protein,,Conserved Hypotheticals,MT0282,282,11
276,conserved hypothetical protein,,Conserved Hypotheticals,MT0288,288,17
277,conserved hypothetical protein,,Conserved Hypotheticals,MT0289,289,6
281,conserved hypothetical protein,,Conserved Hypotheticals,MT0293,293,14
282,conserved hypothetical protein,,Conserved Hypotheticals,MT0295,295,23
283,conserved hypothetical protein,,Conserved Hypotheticals,MT0296,296,24
284,conserved hypothetical protein,,Conserved Hypotheticals,MT0297,297,61
287,conserved hypothetical protein,,Conserved Hypotheticals,MT0300,300,5
288,conserved hypothetical protein,,Conserved Hypotheticals,MT0301,301,7
289,conserved hypothetical protein,,Conserved Hypotheticals,MT0302,302,13
293,conserved hypothetical protein,,Conserved Hypotheticals,MT0306,306,27
294,conserved hypothetical protein,,Conserved Hypotheticals,MT0307,307,14
301,conserved hypothetical protein,,Conserved Hypotheticals,MT0314,314,7
308,conserved hypothetical protein,,Conserved Hypotheticals,MT0321,321,15
310,conserved hypothetical protein,,Conserved Hypotheticals,MT0323,323,12
312,conserved hypothetical protein,,Conserved Hypotheticals,MT0326,326,22
320,conserved hypothetical protein,,Conserved Hypotheticals,MT0335,335,16
323,conserved hypothetical protein,,Conserved Hypotheticals,MT0338,338,12
329,conserved hypothetical protein,,Conserved Hypotheticals,MT0344,344,10
336,conserved hypothetical protein,,Conserved Hypotheticals,MT0350,350,18
338,conserved hypothetical protein,,Conserved Hypotheticals,MT0352,352,35
339,conserved hypothetical protein,,Conserved Hypotheticals,MT0353,353,30
341,conserved hypothetical protein,,Conserved Hypotheticals,MT0356,356,19
342,conserved hypothetical protein,,Conserved Hypotheticals,MT0357,357,27
343,conserved hypothetical protein,,Conserved Hypotheticals,MT0357.1,357.1,13
347,conserved hypothetical protein,,Conserved Hypotheticals,MT0362,362,18
359,conserved hypothetical protein,,Conserved Hypotheticals,MT0375,375,10
364,conserved hypothetical protein,,Conserved Hypotheticals,MT0380,380,13
365,conserved hypothetical protein,,Conserved Hypotheticals,MT0381,381,19
366,conserved hypothetical protein,,Conserved Hypotheticals,MT0382,382,6
368,conserved hypothetical protein,,Conserved Hypotheticals,MT0384,384,17
372,conserved hypothetical protein,,Conserved Hypotheticals,MT0387,387,6
378,conserved hypothetical protein,,Conserved Hypotheticals,MT0392,392,9
387,conserved hypothetical protein,,Conserved Hypotheticals,,,26
393,conserved hypothetical protein,,Conserved Hypotheticals,MT0404,404,10
397,conserved hypothetical protein,,Conserved Hypotheticals,MT0407,407,9
406,conserved hypothetical protein,,Conserved Hypotheticals,MT0419,419,13
415,conserved hypothetical protein,,Conserved Hypotheticals,MT0428,428,12
416,conserved hypothetical protein,,Conserved Hypotheticals,MT0429,429,4
433,conserved hypothetical protein,,Conserved Hypotheticals,MT0448,448,24
434,conserved hypothetical protein,,Conserved Hypotheticals,MT0449,449,13
444,conserved hypothetical protein,,Conserved Hypotheticals,MT0460,460,9
446,conserved hypothetical protein,,Conserved Hypotheticals,MT0462,462,17
448,conserved hypothetical protein,,Conserved Hypotheticals,MT0464,464,17
454,conserved hypothetical protein,,Conserved Hypotheticals,MT0470,470,13
459,conserved hypothetical protein,,Conserved Hypotheticals,MT0475,475,5
460,conserved hypothetical protein,,Conserved Hypotheticals,MT0476,476,3
463,conserved hypothetical protein,,Conserved Hypotheticals,MT0479,479,4
464,conserved hypothetical protein,,Conserved Hypotheticals,MT0480,480,14
466,conserved hypothetical protein,,Conserved Hypotheticals,MT0482,482,8
480,conserved hypothetical protein,,Conserved Hypotheticals,MT0498,498,18
483,conserved hypothetical protein,,Conserved Hypotheticals,MT0501,501,29
486,conserved hypothetical protein,,Conserved Hypotheticals,MT0504,504,13
487,conserved hypothetical protein,,Conserved Hypotheticals,MT0505,505,9
493,conserved hypothetical protein,,Conserved Hypotheticals,MT0513,513,17
495,conserved hypothetical protein,,Conserved Hypotheticals,MT0515,515,13
496,conserved hypothetical protein,,Conserved Hypotheticals,MT0516,516,9
498,conserved hypothetical protein,,Conserved Hypotheticals,MT0518,518,12
502,conserved hypothetical protein,,Conserved Hypotheticals,MT0523,523,19
504,conserved hypothetical protein,,Conserved Hypotheticals,MT0525,525,11
515,conserved hypothetical protein,,Conserved Hypotheticals,MT0536,536,21
516,conserved hypothetical protein,,Conserved Hypotheticals,MT0537,537,9
