MTnum,Start,End,numofTAs
MT0322,377992,378645,12
MT0323,378721,379209,12
MT0324,379233,380459,17
MT0325,380503,380598,6
MT0326,380617,382476,22
MT0327,382551,382934,5
MT0328,382943,383125,1
MT0328.1,383070,383312,0
MT0328.2,383194,383601,6
MT0329,383662,384543,10
MT0330,384595,385206,8
MT0332,385236,385970,13
MT0333,386368,387141,7
MT0334,387208,387873,8
MT0335,387948,388607,16
MT0336,388642,389211,6
MT0337,389320,390648,24
MT0338,390643,391311,12
MT0339,391412,392089,12
MT0340,392099,392320,6
MT0341,392333,392785,9
MT0342,392759,394105,24
MT0343,394171,394770,11
MT0344,394757,395380,10
MT0345,395410,396147,9
MT0346,396261,397424,18
MT0347,397642,398628,14
MT0348,398718,399581,19
MT0349,399598,400110,2
MT0350,400252,401760,18
MT0351,401936,403222,22
MT0352,403256,405901,35
MT0353,406013,408508,30
MT0355,408694,409230,5
MT0356,409416,410858,19
MT0357,410898,412817,27
MT0357.1,412817,414295,13
MT0359,414444,415001,12
MT0360,415104,415517,7
MT0361,415565,417025,29
MT0362,417364,418347,18
MT0363,418353,419003,18
MT0364,419126,419665,5
MT0365,419895,421769,17
MT0366,421859,422473,8
MT0367,422512,423696,14
MT0368,423699,424076,6
MT0369,424309,424863,10
MT0370,424943,434767,171
MT0372,434921,435547,9
MT0373,435562,436857,24
MT0374,436948,437592,13
MT0375,437747,438382,10
MT0376,438393,438803,8
MT0377,438910,439734,8
MT0378,439959,441338,16
MT0379,441356,442387,17
MT0380,442483,443163,13
MT0381,443158,444285,19
MT0382,444313,444903,6
MT0383,444914,445339,2
MT0384,445405,446613,17
MT0384.1,446622,447221,8
MT0385,447238,448131,21
MT0386,448131,448721,7
MT0387,448721,449473,6
MT0388,449495,451891,38
MT0389,451891,452367,6
MT0390,452385,453284,10
MT0391,454510,455472,9
MT0392,455651,456226,9
MT0393,456360,456908,10
MT0394,457007,457768,16
MT0395,457933,458469,12
MT0396,458553,459404,9
MT0397,459548,462091,25
MT0398,462119,463393,21
MT0399,463479,466754,44
MT0400,466764,468092,26
MT0401,468426,469682,9
MT0402,470101,471318,21
MT0403,471321,472730,16
MT0404,472872,474194,10
MT0404.1,474216,474932,9
MT0405,475031,475432,7
MT0406,475417,475830,6
MT0407,475877,476344,9
MT0407.1,476485,476730,7
MT0408,476773,477411,5
MT0409,477421,478647,24
MT0410,478660,479847,10
MT0411,479880,480248,3
MT0412,480449,483322,55
MT0413,483435,484316,23
MT0414,484370,484693,4
MT0415,484653,485105,7
MT0416,485316,485426,2
MT0417,485426,487180,87
MT0418,487180,491385,123
MT0419,491339,492094,13
MT0420,492232,493239,20
MT0421,493235,495304,43
MT0422,495300,496454,17
MT0423,496514,498820,32
MT0424,498766,499749,9
MT0425,499752,501068,24
MT0426,501162,501812,7
MT0427,501802,502467,10
MT0428,502597,503616,12
MT0429,503616,503819,4
MT0430,503815,504570,15
MT0431,504595,504744,7
MT0432,504966,506444,28
MT0433,506535,508028,22
MT0434,508013,508420,9
MT0435,508584,509210,10
MT0436,509210,510004,14
MT0437,510034,511680,22
MT0438,511829,512104,8
MT0440,512154,516770,40
MT0441,516825,517397,7
MT0442,517469,518341,13
MT0443,518347,519291,17
MT0444,519255,519845,9
MT0445,519978,520487,9
MT0446,520522,521013,10
MT0447,521049,521768,12
MT0448,521752,522900,24
MT0449,522960,523613,13
MT0450,523625,523732,2
MT0451,523799,525982,23
MT0452,525982,526845,17
MT0453,526839,527531,8
MT0454,527595,528809,14
MT0455,528831,529844,20
MT0456,530057,531676,13
MT0457,531748,532173,9
MT0458,532203,533663,24
MT0459,533803,534357,16
MT0460,534543,535238,9
MT0461,535285,535845,10
MT0462,535897,536703,17
MT0463,536676,538121,29
MT0464,537956,538684,17
MT0465,538681,539997,23
MT0466,540040,542940,84
MT0467,542940,543359,15
MT0468,543540,544298,14
MT0469,544623,546176,23
MT0470,546188,546739,13
MT0471,546827,547351,15
MT0472,547341,548252,10
MT0472.1,548472,548939,10
MT0473,549038,551056,38
MT0474,551124,552644,23
MT0475,552647,553135,5
MT0476,553159,553434,3
MT0477,553397,553996,17
MT0478,554063,555454,27
MT0479,555465,555755,4
MT0480,555765,556334,14
MT0481,556334,557755,28
MT0482,557907,558698,8
MT0483,558976,560259,18
MT0484,560344,561201,13
MT0485,561319,562193,24
MT0486,562299,563159,11
MT0487,563305,563742,11
MT0488,563676,564161,12
MT0489,564174,564941,13
MT0490,565156,566379,15
MT0491,566469,566888,7
MT0492,566933,567067,1
MT0493,567230,567841,10
MT0494,567860,568009,4
MT0495,568125,568667,7
MT0496,568670,569341,3
MT0497,569372,570415,13
MT0498,570415,571434,18
MT0499,571439,571960,11
MT0500,571987,573093,13
MT0501,573158,574510,29
MT0502,574497,575249,10
MT0503,575432,576745,23
MT0504,576796,578235,13
MT0505,578235,578783,9
MT0506,578896,579000,0
MT0507,579054,579656,9
MT0508,579816,580562,11
MT0509,580739,581968,16
MT0510,582167,582856,9
MT0511,582859,584298,11
MT0512,584237,584911,9
MT0513,585072,586058,17
MT0514,586063,586788,7
MT0515,586795,587682,13
MT0516,587714,588745,9
MT0517,588745,589674,14
MT0518,589693,590532,12
MT0519,590551,591423,5
MT0520,591451,592335,13
MT0521,592479,592712,4
MT0522,593022,594149,25
MT0523,594159,595232,19
MT0524,595242,596207,22
MT0525,596107,596700,11
MT0526,596834,597757,16
MT0527,598132,598566,9
MT0528,598566,601469,81
MT0529,601465,601755,8
MT0530,601727,603211,28
MT0531,603215,604150,12
MT0532,604177,605880,18
MT0533,605969,606955,22
MT0534,606971,607516,7
MT0535,607516,607812,2
MT0536,607825,609426,21
MT0537,609429,609905,9
MT0538,610191,611420,19
MT0539,611555,612247,12
MT0540,612305,612418,1
MT0541,612542,613441,9
MT0542,613622,613969,5
MT0543,613965,614267,5
MT0544,614405,615706,23
MT0545,615696,616097,9
MT0546,616202,617587,21
MT0547,617590,618195,10
MT0548,618213,618860,7
MT0549,618860,619636,5
MT0550,619672,621258,16
MT0551,621258,622229,18
MT0552,622274,623488,17
MT0553,623491,623649,3
MT0554,623696,624010,4
MT0555,623985,624164,3
MT0556,624160,626025,21
MT0557,625927,626931,15
MT0558,627016,627891,11
MT0559,627926,628699,9
MT0560,628699,629736,12
MT0562,629752,631182,20
MT0563,631491,633134,15
MT0564,633170,633823,6
MT0565,633850,634482,11
MT0566,634378,635856,21
MT0567,635871,636956,14
MT0568,636909,637433,8
MT0569,637390,637665,6
MT0570,637665,638915,14
MT0571,639038,639421,8
MT0572,639487,640368,10
MT0573,640467,641408,12
MT0573.1,641427,641558,3
MT0574,641683,642093,4
MT0575,642093,642356,3
MT0576,642340,642492,2
MT0577,642551,644263,32
MT0578,644227,645942,23
MT0579,645942,646919,12
MT0580,646919,647704,14
MT0581,647750,649411,15
MT0582,649411,649923,13
MT0583,649898,651121,16
MT0584,651186,651842,14
MT0585,651862,652197,6
MT0586,652234,652956,15
MT0587,652984,654207,18
MT0588,654223,655227,14
MT0589,655331,656188,11
MT0590,656379,657401,11
MT0591,657465,658922,36
MT0592,659003,659491,5
MT0593,659770,660789,19
MT0594,660902,662317,12
MT0595,662317,662718,5
MT0596,662618,664822,38
MT0597,664941,666293,13
MT0598,666377,666496,1
MT0599,666496,666834,8
MT0600,666888,667052,4
MT0601,667305,668693,16
MT0602,668706,669845,20
MT0603,669938,670039,1
MT0604,670033,671196,14
MT0605,671290,672600,19
MT0606,672611,673399,13
MT0607,673450,677367,27
MT0608,677282,677758,11
MT0608.1,677737,678444,13
MT0609,678579,679154,15
MT0610,679181,679804,13
MT0611,679843,680526,7
MT0612,680680,683310,62
MT0613,683339,684904,32
MT0614,685182,685787,8
MT0615,685859,686578,12
MT0616,686578,687372,11
MT0617,687377,688261,15
MT0618,688270,689481,27
MT0619,689445,690305,11
MT0620,690257,690508,7
MT0621,690496,691815,19
MT0622,691949,693472,29
MT0623,693472,694677,19
MT0624,694616,696232,31
MT0625,696290,696682,8
MT0626,696679,696933,5
MT0627,697119,698351,13
MT0628,698605,699015,7
MT0629,699015,699275,8
MT0630,699355,700485,7
MT0631,700489,701229,11
MT0632,701687,702634,7
MT0633,702854,703459,10
MT0635,703386,704204,8
MT0636,704245,704685,5
MT0637,704690,704932,2
MT0638,704932,705330,7
MT0638.1,705330,705500,2
MT0639,705870,706202,5
MT0640,706201,707355,11
MT0641,707410,707790,12
MT0642,707770,708372,6
MT0643,708397,710961,16
MT0644,710901,711791,14
MT0645,711773,712030,4
MT0645.1,712033,712263,5
MT0645.2,712228,712452,4
MT0646,712452,712850,3
MT0647,712982,714162,18
MT0648,714162,715250,9
MT0649,715648,716709,9
MT0650,716672,717760,14
MT0651,717856,718107,3
MT0652,718110,718502,6
MT0653,718602,719435,10
MT0654,719471,719728,4
MT0655,719656,720147,2
MT0656,720210,721358,4
MT0657,721454,723136,16
MT0658,723178,726459,34
MT0659,726462,729752,19
MT0660,730031,730723,13
MT0661,730775,731632,15
MT0662,731768,732478,13
MT0662.1,732558,732806,6
MT0663,733157,733321,3
MT0664,733375,733848,14
MT0665,733838,734263,7
MT0666,734270,734767,7
MT0667,735425,735664,7
MT0668,735699,736412,12
MT0669,736467,736892,5
MT0669.1,736962,737666,7
MT0670,737741,738685,19
MT0671,738711,739613,22
MT0672,739740,740690,13
MT0673,740770,741657,21
MT0674,741677,742684,12
MT0675,742594,744057,14
MT0676,744143,748336,48
MT0677,748264,749007,5
MT0679,749010,749915,5
MT0680,750249,750782,5
MT0681,750822,751211,0
MT0682,751210,751980,16
MT0683,751973,753475,27
MT0684,753559,754566,12
MT0685,754960,755340,4
MT0686,755438,755590,1
MT0687,755669,756382,17
MT0688,756661,756966,4
MT0689,756956,757204,2
MT0690,757311,757745,5
MT0691,757745,758122,6
MT0692,758110,760470,46
MT0692.1,760536,760859,6
MT0693,760774,761109,5
MT0694,761267,761494,4
MT0695,761762,765295,38
MT0696,765343,769290,51
MT0697,769293,769664,2
MT0698,769660,771571,37
MT0699,771766,772521,5
MT0700,772556,773395,13
MT0701,773458,775083,27
MT0702,775097,776032,9
MT0703,776038,776757,7
MT0704,776757,777545,4
MT0705,777563,780454,32
MT0706,780454,780879,6
MT0706.1,780964,781458,5
MT0707,781520,782014,6
MT0708,782019,782390,3
MT0709,782629,783282,12
MT0710,783534,783905,8
MT0711,783908,784375,5
MT0712,784459,786561,34
MT0713,786795,787982,11
MT0714,788123,788917,12
MT0715,789073,789897,17
MT0716,789914,791131,18
MT0717,791134,791385,4
MT0717.1,791501,791773,3
MT0718,792001,793047,17
MT0719,793047,793640,9
MT0719.1,793632,793817,4
MT0719.2,793823,794131,6
MT0720,794131,795303,18
MT0721,795309,796565,19
MT0722,796688,797440,12
MT0723,797492,798901,26
MT0724,798906,800342,27
MT0724.1,800335,800535,2
MT0725,800672,800767,1
MT0726,801136,801780,11
MT0726.1,802080,802367,6
MT0727,802460,802762,6
MT0728,802782,803432,16
MT0729,803435,804103,11
MT0730,804106,804405,4
MT0731,804717,805556,17
MT0732,805600,805878,2
MT0733,805878,806468,8
MT0734,806471,807292,14
MT0735,807299,807712,10
MT0736,807715,807945,4
MT0737,807948,808352,11
MT0738,808614,810884,44
MT0739,810935,811831,19
MT0740,812135,813073,19
MT0740.1,813244,813372,4
MT0741,813562,813927,4
MT0741.1,813931,814245,5
MT0742,814248,814808,4
MT0742.1,814816,814998,2
MT0743,815166,815561,10
MT0744,815588,816124,15
MT0745,816130,816495,4
MT0746,816518,817177,11
MT0747,817183,817377,1
MT0748,817380,817817,2
MT0749,818105,819721,24
MT0750,819732,820634,15
MT0751,820730,821830,16
MT0752,822036,822689,12
MT0753,822689,823666,9
MT0754,823697,825040,19
MT0755,825056,825781,3
MT0756,825876,826829,10
MT0756.1,826990,828312,28
MT0757,828312,828854,5
MT0758,828860,829657,9
MT0759,829733,830263,7
MT0760,830330,831079,8
MT0761,831137,831346,1
MT0762,831397,831891,5
MT0762.1,831891,832100,4
MT0763,832252,832797,1
MT0764,833045,833848,18
MT0765,833885,834130,4
MT0766,834130,834489,9
MT0767,834723,835034,3
MT0768,835179,835694,5
MT0768.1,835869,836006,2
MT0769,836078,836632,9
MT0770,836632,837168,11
MT0771,837251,837394,1
MT0772,837343,837867,7
MT0772.1,837890,840238,14
MT0772.2,840318,840557,3
MT0772.5,840640,842994,16
MT0772.6,843079,843342,2
MT0773,843369,843794,4
MT0773.1,843881,844015,1
MT0774,844150,844416,8
MT0775,844491,845372,7
MT0776,845386,846555,15
MT0777,846565,848094,18
MT0778,848300,850051,31
MT0779,850247,852184,55
MT0780,852486,852698,6
MT0781,852868,853638,9
MT0782,853770,854489,12
MT0783,854537,855991,18
MT0784,855969,856367,3
MT0785,856410,856826,6
MT0786,856842,857867,13
MT0787,858068,858610,13
MT0787.1,858616,858855,4
MT0788,858825,860177,18
MT0789,860180,861004,11
MT0790,861007,862212,25
MT0791,862212,862850,14
MT0792,863052,864518,27
MT0793,864552,865295,17
MT0794,865396,866280,10
MT0795,866280,866711,10
MT0796,866726,867991,24
MT0797,867994,869529,20
MT0798,869583,870491,10
MT0799,870547,871167,9
MT0800,871127,871903,16
MT0801,872148,873563,18
MT0802,873571,874812,21
MT0803,874815,875495,10
MT0804,875483,876373,26
MT0805,876376,878529,62
MT0806,878464,878940,5
MT0807,878963,880597,28
MT0808,880627,881463,12
MT0809,881482,883179,35
MT0810,883220,883855,14
MT0811,883832,884557,12
MT0812,884666,884902,2
MT0813,884902,885573,12
MT0814,885596,886192,7
MT0815,886217,886942,21
MT0816,886942,887982,13
MT0817,887982,889910,30
MT0818,890240,891388,13
MT0819,891384,892178,16
MT0820,892178,893182,10
MT0821,893227,894525,16
MT0822,894884,895537,16
MT0823,895729,897990,35
MT0824,897990,898616,7
MT0825,898740,899693,18
MT0826,899644,901239,41
MT0827,901277,901381,2
MT0828,901544,901930,2
MT0829,902020,903600,27
MT0830,903634,904725,14
MT0831,904817,904996,4
MT0832,905146,906249,17
MT0833,906314,907198,16
MT0834,907250,907927,13
MT0835,907927,908022,4
MT0836,908093,908392,2
MT0837,908397,909227,15
MT0838,909523,909942,3
MT0839,909942,910751,15
MT0840,910842,911645,11
MT0841,911645,912589,14
MT0842,912635,913408,12
MT0843,913470,914108,6
MT0844,914169,916220,29
MT0845,916389,917555,17
MT0846,917646,918659,19
MT0847,918824,919540,13
MT0848,919507,920595,22
MT0849,920653,921048,7
MT0850,921379,921771,5
MT0851,921879,922781,20
MT0852,922806,923720,20
MT0853,924305,924472,1
MT0854,924821,925270,4
MT0854.1,925270,927516,11
MT0855,927749,930385,27
MT0856,930646,931494,17
MT0856.1,931481,932029,14
MT0857,932182,932925,10
MT0858,932906,933931,23
MT0859,934196,934381,2
MT0860,934695,935387,7
MT0861,935477,936286,14
MT0862,936360,937217,9
MT0863,937493,937732,3
MT0864,937976,939301,24
MT0865,939288,940289,18
MT0866,940359,941006,9
MT0867,941078,942364,27
MT0868,942353,942469,0
MT0869,942583,944094,31
MT0870,944219,944632,6
MT0871,944742,945952,30
MT0872,945955,947210,23
MT0873,947210,947539,9
MT0874,947542,948375,9
MT0875,948457,949290,15
MT0876,949337,951016,26
MT0877,951081,951521,6
MT0878,951530,952606,13
MT0879,952693,953124,5
MT0880,953155,953625,8
MT0881,953628,954818,21
MT0882,954975,956183,8
MT0883,956191,958350,27
MT0884,958424,960049,26
MT0885,960349,962616,29
MT0886,962603,962881,6
MT0887,962894,963394,11
MT0888,963394,963873,8
MT0889,963873,964295,3
MT0890,964319,965539,11
MT0891,965990,966265,6
MT0892,966272,967351,14
MT0892.1,967351,967737,5
MT0893,967902,968306,4
MT0894,968431,970257,27
MT0895,970341,970529,6
MT0896,970518,972467,34
MT0897,972562,973842,11
MT0898,973821,974306,12
MT0899,974306,975982,26
MT0900,976087,976872,15
MT0901,976887,978218,19
MT0902,978496,978768,3
MT0903,978768,979400,5
MT0904,979512,980237,15
MT0905,980237,980518,1
MT0906,980521,981279,6
MT0907,981439,982566,12
MT0908,982774,983793,14
MT0909,983815,985539,26
MT0910,985528,986037,4
MT0910.1,986004,986156,1
MT0910.2,986281,986544,7
MT0910.3,986686,986832,3
MT0910.4,986749,986892,3
MT0911,987194,988714,32
MT0912,988755,989873,12
MT0914,989963,992608,48
MT0915,992613,993467,25
MT0915.1,993473,993865,15
MT0916,993865,995349,43
MT0917,995333,996307,24
MT0918,996536,997714,18
MT0919,997749,999308,29
MT0920,999484,1000776,28
MT0921,1000823,1002427,19
MT0921.1,1002456,1002716,1
MT0922,1002824,1003801,19
MT0923,1003817,1003966,2
MT0924,1003966,1004493,9
MT0925,1004516,1005922,17
MT0926,1005867,1006574,10
MT0927,1006708,1008192,24
MT0928,1008219,1008947,9
MT0929,1008956,1010071,15
MT0930,1010059,1011744,43
MT0931,1011744,1014134,30
MT0932,1014407,1014565,3
MT0933,1014694,1014870,2
MT0934,1014879,1015310,7
MT0934.1,1015411,1016181,15
MT0936,1016429,1016695,4
MT0937,1016836,1017240,8
MT0938,1017233,1018738,41
MT0939,1018743,1019978,16
MT0940,1020074,1021351,19
MT0941,1021360,1021656,5
MT0942,1022100,1023878,42
MT0943,1023878,1024132,4
MT0944,1024164,1024697,8
MT0945,1024697,1025194,10
MT0946,1025186,1025329,4
MT0947,1025513,1026829,22
MT0948,1027117,1027695,7
MT0949,1027698,1029347,19
MT0950,1029529,1030590,21
MT0951,1030594,1031880,20
MT0952,1031912,1032646,16
MT0953,1032726,1033799,21
MT0954,1033856,1034644,6
MT0955,1034859,1036025,24
MT0956,1036041,1037012,17
MT0957,1037012,1037923,16
MT0958,1037936,1039927,45
MT0959,1039952,1041061,25
MT0960,1041277,1042104,12
MT0961,1042128,1043249,21
MT0962,1043312,1044325,12
MT0963,1044330,1045232,20
MT0964,1045215,1046033,12
MT0965,1046149,1048425,43
MT0966,1048425,1050356,31
MT0967,1050609,1051472,15
MT0968,1051560,1052330,9
MT0968.1,1052321,1052563,4
MT0969,1052712,1053704,17
MT0970,1053754,1054251,8
MT0971,1054260,1055018,7
MT0972,1055040,1056698,19
MT0973,1056802,1057083,5
MT0974,1057316,1057543,9
MT0975,1057662,1058312,12
MT0976,1058273,1060585,45
MT0977,1060672,1061667,21
MT0978,1061977,1063137,16
MT0979,1063153,1064061,11
MT0980,1064064,1064975,16
MT0981,1065140,1066048,28
MT0982,1066091,1067455,18
MT0983,1067574,1068218,15
MT0984,1068218,1069786,24
MT0985,1069896,1071272,15
MT0986,1071268,1073283,19
MT0987,1073340,1073558,3
MT0988,1073558,1073938,6
MT0989,1074087,1074431,7
MT0990,1074456,1075127,15
MT0991,1075127,1075264,3
MT0992,1075313,1076110,10
MT0992.1,1076212,1076625,4
MT0993,1076794,1077231,7
MT0994,1077249,1077938,11
MT0995,1077988,1078344,1
MT0996,1078344,1078697,7
MT0997,1078690,1081065,21
MT0998,1081065,1081694,12
MT0999.1,1081791,1082597,6
MT1000,1082600,1083763,18
MT1001,1083763,1085763,25
MT1002,1085772,1087364,20
MT1003,1087364,1088509,20
MT1003.1,1088509,1090188,20
MT1004,1090356,1093156,32
MT1006.1,1093379,1094383,9
MT1007,1094562,1095083,5
MT1008,1095108,1096535,16
MT1009,1096855,1097544,11
MT1010,1097547,1099058,22
