Rv#,Product,Gene ,Sub-classification
162,alcohol dehydrogenase (Zn),adhE,SMM: Misc oxidoreductases and oxygenases
163,probable dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
164,conserved hypothetical protein,,Conserved Hypotheticals
165,transcriptional regulator (GntR family),,SMM: Repressors/activators
166,acyl-CoA synthase,FadD5,SMM: Degradation of fatty acids
167,part of mce1 operon,,Other: Virulence
168,part of mce1 operon,,Other: Virulence
169,cell invasion protein,mce1,Other: Virulence
170,part of mce1 operon,,Other: Virulence
171,part of mce1 operon,,Other: Virulence
172,part of mce1 operon,,Other: Virulence
173,part of mce1 operon,,MMM: Cell membrane-Lipoproteins
174,part of mce1 operon,lprK,Other: Virulence
175,conserved hypothetical protein,,Conserved Hypotheticals
176,conserved hypothetical protein,,Conserved Hypotheticals
177,conserved hypothetical protein,,Conserved Hypotheticals
178,conserved hypothetical protein,,Conserved Hypotheticals
179,lipoprotein,lprO,MMM: Cell membrane-Lipoproteins
180,probable membrane protein,,MMM: Other membrane proteins
181,conserved hypothetical protein,,Conserved Hypotheticals
182,sigma-70 factors ECF subfamily,sigG,MMM:RNA synthesis; RNA modification and DNA transcription
183,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
184,conserved hypothetical protein,,Conserved Hypotheticals
185,conserved hypothetical protein,,Conserved Hypotheticals
186,beta-glucosidase,bglS,SMM: Degradation of Carbon compounds
187,probable o-methyltransferase,,Other: Miscellaneous Transferases
188,putative methyltransferase,,Other: Miscellaneous Transferases
189,dihydroxy acid hydratase,ilvD,SMM: Amino acid synthesis-Branched aa
190,conserved hypothetical protein,,Conserved Hypotheticals
191,probable chloramphenicol resistance protein,,MMM: Other membrane proteins
192,conserved hypothetical protein,,Conserved Hypotheticals
193,Hypothetical protein,,Unknowns
194,probable ABC transporter,,MMM: Other membrane proteins
195,transcriptional regulator (LuxR/UhpA family),,SMM: Repressors/activators
196,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
197,conserved hypothetical protein,,Conserved Hypotheticals
198,probable zinc metalloprotease,,MMM: Degradation of Proteins; peptides and glycopeptides
199,conserved hypothetical protein,,Conserved Hypotheticals
200,probable membrane protein,,MMM: Other membrane proteins
201,conserved hypothetical protein,,Conserved Hypotheticals
202,conserved large membrane protein,mmpL11,MMM: Conserved membrane proteins
203,Hypothetical protein,,Unknowns
204,probable membrane protein,,MMM: Other membrane proteins
205,probable membrane protein,,MMM: Other membrane proteins
206,conserved large membrane protein,mmpL3,MMM: Conserved membrane proteins
207,conserved hypothetical protein,,Conserved Hypotheticals
208,conserved hypothetical protein,,Conserved Hypotheticals
209,Hypothetical protein,,Unknowns
210,Hypothetical protein,,Unknowns
211,phosphoenolpyruvate carboxykinase,pckA,SMM: Intermediate Metabolism-Gluconeogenesis
212,similar to E. coli NadR,nadR,SMM: Repressors/activators
213,some similarity to methyltransferases,,Other: Miscellaneous Transferases
214,acyl-CoA synthase,FadD4,SMM: Degradation of fatty acids
215,acyl-CoA dehydrogenase,FadE3,SMM: Degradation of fatty acids
216,conserved hypothetical protein,,Conserved Hypotheticals
217,probable esterase,lipW,MMM: Esterases and Lipases
218,some similarity with sulphitesulfite oxidases,,SMM: Misc oxidoreductases and oxygenases
219,Hypothetical protein,,Unknowns
220,probable esterase,lipC,MMM: Esterases and Lipases
221,conserved hypothetical protein,,Conserved Hypotheticals
222,enoyl-CoA hydratase/isomerase superfamily,echA1,SMM: Degradation of fatty acids
223,aldehyde dehydrogenase (possible betB),,SMM: Misc oxidoreductases and oxygenases
224,probable methyltransferase,,Other: Miscellaneous Transferases
225,possible involved in LPS synthesis,,MMM: Other membrane proteins
226,probable membrane protein,,MMM: Other membrane proteins
227,probable membrane protein,,MMM: Other membrane proteins
228,similar to acyltransferase,,Other: Miscellaneous Transferases
229,conserved hypothetical protein,,Conserved Hypotheticals
230,conserved hypothetical protein,,Conserved Hypotheticals
231,acyl-CoA dehydrogenase,FadE4,SMM: Degradation of fatty acids
232,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
233,ribonucleoside-diphosphate reductase B2,nrdB,SMM: 2'-deoxyribonucleotide metabolism
234,succinate-semialdehyde dehydrogenase,gabD2,SMM: Degradation of Carbon compounds
235,conserved hypothetical protein,,Conserved Hypotheticals
236,probable membrane protein,,MMM: Other membrane proteins
237,beta-hexosaminidase precursor Beta-hexosaminidase A,lpql,MMM: Cell membrane-Lipoproteins
238,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
239,conserved hypothetical protein,,Conserved Hypotheticals
240,Hypothetical protein,,Unknowns
241,Hypothetical protein,,Unknowns
242,3-oxoacyl-[ACP] reductase,fabG4,SMM: Biosyn of fatty and mycolic acids
243,acetyl-CoA C-acetyltransferase,fadA2,SMM: Degradation of fatty acids
244,acyl-CoA dehydrogenase,fadE5,SMM: Degradation of fatty acids
245,probable monooxygenase,,SMM: Misc oxidoreductases and oxygenases
246,probable membrane transport protein,,MMM: Other membrane proteins
247,probable iron-sulphur protein,,SMM: Misc oxidoreductases and oxygenases
248,probable flavoprotein subunit of Rv0247c,,SMM: Misc oxidoreductases and oxygenases
249,probable membrane anchor protein,,MMM: Other membrane proteins
250,Hypothetical protein,,Unknowns
251,possible heat shock protein,hsp,Cell Process: Chaperones/Heat Shock
252,nitrite reductase flavoprotein,nirB,SMM: Respiration- anaerobic
253,probable nitrite reductase small subunit,nirD,SMM: Respiration- anaerobic
254,cobinamide kinase,cobU,SMM: Biosyn of Cobalamin
255,cobyric acid synthase,cobQ,SMM: Biosyn of Cobalamin
256,PPE-family protein,PPE,Other: PPE family of proteins
257,Hypothetical protein,,Unknowns
258,conserved hypothetical protein,,Conserved Hypotheticals
259,conserved hypothetical protein,,Conserved Hypotheticals
260,two-component response regulator,,SMM: Two component systems
261,nitrite extrusion protein 1,narK3,Cell Process: Transport/Binding: Anions
262,aminoglycoside 2'-N-acetyltransferase,,Other: Antibiotic production and resistance
263,conserved hypothetical protein,,Conserved Hypotheticals
264,conserved hypothetical protein,,Conserved Hypotheticals
265,iron transport protein FeIII dicitrate transporter,fecB2,Cell Process: Transport/Binding: cations
266,conserved hypothetical protein,,Conserved Hypotheticals
267,similar to nitrite extrusion protein 2,narU,Cell Process: Transport/Binding: Anions
268,Hypothetical protein,,Unknowns
269,conserved hypothetical protein,,Conserved Hypotheticals
270,acyl-CoA synthase,fadD2,SMM: Degradation of fatty acids
271,acyl-CoA dehydrogenase,fadE6,SMM: Degradation of fatty acids
272,Hypothetical protein,,Unknowns
273,putative transcriptional regulator,,SMM: Repressors/activators
274,Hypothetical protein,,Unknowns
275,acyl-CoA synthase,fadD27,SMM: Degradation of fatty acids
276,conserved hypothetical protein,,Conserved Hypotheticals
277,conserved hypothetical protein,,Conserved Hypotheticals
278,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
279,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
280,PPE-family protein,PPE,Other: PPE family of proteins
281,conserved hypothetical protein,,Conserved Hypotheticals
282,conserved hypothetical protein,,Conserved Hypotheticals
283,conserved hypothetical protein,,Conserved Hypotheticals
284,conserved hypothetical protein,,Conserved Hypotheticals
285,PE-family protein,PE,Other: PE family: PE subfamily
286,PPE-family protein,PPE,Other: PPE family of proteins
287,conserved hypothetical protein,,Conserved Hypotheticals
288,conserved hypothetical protein,,Conserved Hypotheticals
289,conserved hypothetical protein,,Conserved Hypotheticals
290,unknown hydrophobic protein,,MMM: Other membrane proteins
291,secreted protease,,MMM: Other membrane proteins
292,unknown possible membrane protein,,MMM: Other membrane proteins
293,conserved hypothetical protein,,Conserved Hypotheticals
294,conserved hypothetical protein,,Conserved Hypotheticals
295,Hypothetical protein,,Unknowns
296,probable arylsulfatase,atsG,SMM: Intermediate Metabolism-of sulphur
297,PE_PGRS family protein,PE_PGRS,Other: PE family: PGRS subfamily
298,Hypothetical protein,,Unknowns
299,Hypothetical protein,,Unknowns
300,Hypothetical protein,,Unknowns
301,conserved hypothetical protein,,Conserved Hypotheticals
302,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
303,similar to NADPH dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
304,PPE-family protein,PPE,Other: PPE family of proteins
305,PPE-family protein,PPE,Other: PPE family of proteins
306,similar to BluB cobalamin synthesis protein R,,SMM: Biosyn of Cobalamin
307,Hypothetical protein,,Unknowns
308,conserved hypothetical protein,,Conserved Hypotheticals
309,Hypothetical protein,,Unknowns
310,conserved hypothetical protein,,Conserved Hypotheticals
311,Hypothetical protein,,Unknowns
312,conserved hypothetical protein,,Conserved Hypotheticals
313,Hypothetical protein,,Unknowns
314,unknown hydrophobic protein,,MMM: Other membrane proteins
315,probable [beta]-1;3-glucanase,,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
316,probable muconolactone isomerase,,MMM: Degradation of aromatic hydrocarbons
317,glycerophosphoryl diester phosphodiesterase,glpQ2,SMM: Intermediate Metabolism-General
318,unknown transmembrane protein,,MMM: Other membrane proteins
319,pyrrolidone-carboxylate peptidase,pcp,MMM: Degradation of Proteins; peptides and glycopeptides
320,conserved hypothetical protein,,Conserved Hypotheticals
321,deoxycytidine triphosphate deaminase,dcd,SMM: 2'-deoxyribonucleotide metabolism
322,UDP-glucose dehydrogenase/GDP-mannose,udgA,SMM: Intermediate Metabolism-sugar nucleotides
323,conserved hypothetical protein,,Conserved Hypotheticals
324,putative transcriptional regulator,,SMM: Repressors/activators
325,Hypothetical protein,,Unknowns
326,Hypothetical protein,,Unknowns
327,cytochrome P450 monooxygenase,,Other: Cytochrome P450 enzymes
328,transcriptional regulator (TetR/AcrR family),,SMM: Repressors/activators
329,conserved hypothetical protein,,Conserved Hypotheticals
330,Hypothetical protein,,Unknowns
331,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
332,Hypothetical protein,,Unknowns
333,Hypothetical protein,,Unknowns
334,glucose-1-phosphate thymidyltransferase,rmlA,SMM: Intermediate Metabolism-sugar nucleotides
335,PE-family protein,PE,Other: PE family: PE subfamily
336,conserved hypothetical protein,,Conserved Hypotheticals
337,aspartate aminotransferase,aspC,SMM: Amino acid synthesis-Aspartate family
338,conserved hypothetical protein,,Conserved Hypotheticals
339,conserved hypothetical protein,,Conserved Hypotheticals
340,Hypothetical protein,,Unknowns
341,conserved hypothetical protein,,Conserved Hypotheticals
342,conserved hypothetical protein,,Conserved Hypotheticals
343,conserved hypothetical protein,,Conserved Hypotheticals
344,lipoprotein,lpqJ,MMM: Cell membrane-Lipoproteins
345,unknown possible membrane protein,,MMM: Other membrane proteins
346,probable aromatic amino acid permease,aroP2,Cell Process: Transport/Binding: amino acids
347,conserved hypothetical protein,,Conserved Hypotheticals
348,putative transcriptional regulator,,SMM: Repressors/activators
349,Hypothetical protein,,Unknowns
350,70 kD heat shock protein; chromosome replication ,dnaK,Cell Process: Chaperones/Heat Shock
351,stimulates DnaK ATPase activity,grpE,Cell Process: Chaperones/Heat Shock
352,acts with GrpE to stimulate DnaK ATPase,dnaJ,Cell Process: Chaperones/Heat Shock
353,heat shock regulator ,hspR,Cell Process: Chaperones/Heat Shock
354,PPE-family protein,PPE,Other: PPE family of proteins
355,PPE-family protein,PPE,Other: PPE family of proteins
356,Hypothetical protein,,Unknowns
357,adenylosuccinate synthase,purA,SMM: Purine ribonucleotide biosynthesis
358,Hypothetical protein,,Unknowns
359,conserved hypothetical protein,,Conserved Hypotheticals
360,Hypothetical protein,,Unknowns
361,probable membrane protein,,MMM: Other membrane proteins
362,putative Mg ion transporter,mgtE,Cell Process: Transport/Binding: cations
363,fructose bisphosphate aldolase,fba,SMM: Energy metabolism-Glycolysis
364,conserved hypothetical protein,,Conserved Hypotheticals
365,conserved hypothetical protein,,Conserved Hypotheticals
366,conserved hypothetical protein,,Conserved Hypotheticals
367,Hypothetical protein,,Unknowns
368,conserved hypothetical protein,,Conserved Hypotheticals
369,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases
370,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases
371,possible membrane protein,,MMM: Other membrane proteins
372,conserved hypothetical protein,,Conserved Hypotheticals
373,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases
374,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases
375,putative CO dehydrogenas gene cluster,,SMM: Misc oxidoreductases and oxygenases
376,conserved hypothetical protein,,Conserved Hypotheticals
377,transcriptional regulator (LysR family),,SMM: Repressors/activators
378,conserved hypothetical protein,,Conserved Hypotheticals
379,probable transport protein SecE/Sec61-g family,sec,Cell Process: Protein and peptide secretion
380,some similarity to methyltransferases,,Other: Miscellaneous Transferases
381,Hypothetical protein,,Unknowns
382,probable uridine 5'-monophosphate synthase,umpA,SMM: Pyrimidine ribonucleotide biosynthesis
383,unknown possible membrane protein,,MMM: Other membrane proteins
384,heat shock protein,clpB,Cell Process: Chaperones/Heat Shock
385,similar to oxidoreductases,,SMM: Misc oxidoreductases and oxygenases
386,transcriptional regulator (LuxR/UhpA family),,SMM: Repressors/activators
387,conserved hypothetical protein,,Conserved Hypotheticals
388,PPE-family protein,PPE,Other: PPE family of proteins
389,phosphoribosylglycinamide formyltransferase II,purT,SMM: Purine ribonucleotide biosynthesis
390,Hypothetical protein,,Unknowns
391,o-succinylhomoserine sulfhdrylase,metZ,SMM: Amino acid synthesis-Aspartate family
392,possible dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
393,conserved hypothetical protein,,Conserved Hypotheticals
394,Hypothetical protein,,Unknowns
395,Hypothetical protein,,Unknowns
396,Hypothetical protein,,Unknowns
397,conserved hypothetical protein,,Conserved Hypotheticals
398,Hypothetical protein,,Unknowns
399,possible PBP,lpqK,MMM: Cell membrane-Lipoproteins
400,acyl-CoA dehydrogenase,fadE7,SMM: Degradation of fatty acids
401,probable membrane protein,,MMM: Other membrane proteins
402,conserved large membrane protein,mmpL1,MMM: Conserved membrane proteins
403,conserved small membrane protein,mmpS1,MMM: Conserved membrane proteins
404,acyl-CoA synthase,fadD30,SMM: Degradation of fatty acids
405,polyketide synthase,pks6,SMM: Polyketide and non-ribosomal peptide synthesis
406,conserved hypothetical protein,,Conserved Hypotheticals
407,probable coenzyme F420-dependent enzyme,,Other: Coenzyme F420-dependent enzymes
408,phosphate acetyltransferase,pta,SMM: Degradation of Carbon compounds
409,acetate kinase,ackA,SMM: Respiration-Electron Transport
410,serine-threonine protein kinase,pknG,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
411,putative glutamine binding protein,glnH,Cell Process: Transport/Binding: amino acids
412,unknown possible membrane protein,,MMM: Other membrane proteins
413,MutT homologue,mutT3,MMM: DNA replication; repair; recombination and restriction/modification
414,thiamine synthesis; thiazole moiety,thiE,SMM: Biosyn of Thiamine
415,conserved hypothetical protein,,Conserved Hypotheticals
416,conserved hypothetical protein,,Conserved Hypotheticals
417,thiamine synthesis; thiazole moiety,thiG,SMM: Biosyn of Thiamine
418,probable aminopeptidase Y,lpqL,MMM: Cell membrane-Lipoproteins
419,possible zinc metallopeptidase,lpqM,MMM: Cell membrane-Lipoproteins
420,Hypothetical protein,,Unknowns
421,Hypothetical protein,,Unknowns
422,phosphomethylpyrimidine kinase,thiD,SMM: Biosyn of Thiamine
423,thiamine synthesis; pyrimidine moiety,thiC,SMM: Biosyn of Pyridine nucleotide
424,Hypothetical protein,,Unknowns
425,C-terminal region putative cation-transporting,ctpH,Cell Process: Transport/Binding: cations
426,Hypothetical protein,,Unknowns
427,exodeoxyribonuclease III,xthA,MMM: DNA replication; repair; recombination and restriction/modification
428,Hypothetical protein,,Unknowns
429,polypeptide deformylase,def,MMM: Protein translation and modification
430,Hypothetical protein,,Unknowns
431,tuberculin related peptide (AT103),,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
432,superoxide dismutase precursor (Cu-Zn),sodC,Cell Process: Detoxification
433,conserved hypothetical protein,,Conserved Hypotheticals
434,conserved hypothetical protein,,Conserved Hypotheticals
435,ATPase of AAA-family,,Cell Process: Cell division
436,CDP-diacylglycerol-serine o-phosphatidyltransferase,pssA,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
437,putative phosphatidylserine decarboxylase,psd,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
438,molybdenum cofactor biosynthesis; protein A,moaA3,SMM: Biosyn of Molybdopterin
439,probable oxidoreductase,,SMM: Misc oxidoreductases and oxygenases
440,60 kD chaperonin 2,groEL2,Cell Process: Chaperones/Heat Shock
441,65 kDa antigen,,MMM: Other membrane proteins
442,PPE-family protein,PPE,Other: PPE family of proteins
443,Hypothetical protein,,Unknowns
444,conserved hypothetical protein,,Conserved Hypotheticals
445,ECF-type sigma factor,sigK,MMM:RNA synthesis; RNA modification and DNA transcription
446,conserved hypothetical protein,,Conserved Hypotheticals
447,unknown fatty acid methyltransferase,ufaA1,SMM: Modification of fatty & mycolic acids
448,conserved hypothetical protein,,Conserved Hypotheticals
449,putative dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
450,conserved large membrane protein,mmpL4,MMM: Conserved membrane proteins
451,conserved small membrane protein,mmpS4,MMM: Conserved membrane proteins
452,putative transcriptional regulator,,SMM: Repressors/activators
453,PPE-family protein,PPE,Other: PPE family of proteins
454,conserved hypothetical protein,,Conserved Hypotheticals
455,Hypothetical protein,,Unknowns
456,enoyl-CoA hydratase/isomerase superfamily,echA2,SMM: Degradation of fatty acids
457,probable peptidase,,MMM: Degradation of Proteins; peptides and glycopeptides
458,aldehyde dehydrogenase,,SMM: Misc oxidoreductases and oxygenases
459,conserved hypothetical protein,,Conserved Hypotheticals
460,conserved hypothetical protein,,Conserved Hypotheticals
461,unknown possible membrane protein,,MMM: Other membrane proteins
