gene,TAloc,ORFsize
17,677,1881
17,620,1881
17,599,1881
17,545,1881
17,456,1881
17,295,1881
17,281,1881
17,266,1881
17,224,1881
17,158,1881
17,138,1881
17,32,1881
18,1287,1296
18,1280,1296
18,1177,1296
18,901,1296
18,782,1296
18,753,1296
18,640,1296
18,623,1296
18,602,1296
18,548,1296
18,309,1296
18,275,1296
18,236,1296
18,97,1296
18,70,1296
18,38,1296
19,1328,1476
19,1197,1476
19,1192,1476
19,1154,1476
19,1135,1476
19,1128,1476
19,1101,1476
19,1097,1476
19,1084,1476
19,1056,1476
19,1041,1476
19,1009,1476
19,996,1476
19,976,1476
19,925,1476
19,782,1476
19,774,1476
19,653,1476
19,568,1476
19,542,1476
19,475,1476
19,464,1476
19,406,1476
19,397,1476
19,321,1476
19,300,1476
19,284,1476
19,272,1476
19,262,1476
19,251,1476
19,233,1476
19,198,1476
19,191,1476
19,143,1476
19,57,1476
19,24,1476
19,1,1476
20,1407,1410
20,1375,1410
20,1363,1410
20,1296,1410
20,1292,1410
20,1265,1410
20,1185,1410
20,1144,1410
20,1094,1410
20,991,1410
20,970,1410
20,961,1410
20,929,1410
20,885,1410
20,854,1410
20,782,1410
20,758,1410
20,600,1410
20,437,1410
20,431,1410
20,375,1410
20,282,1410
20,227,1410
20,164,1410
20,160,1410
20,93,1410
20,33,1410
21,1396,1536
21,1103,1536
21,1081,1536
21,1055,1536
21,1029,1536
21,986,1536
21,978,1536
21,974,1536
21,971,1536
21,894,1536
21,859,1536
21,835,1536
21,719,1536
21,713,1536
21,595,1536
21,583,1536
21,548,1536
21,356,1536
21,337,1536
21,286,1536
21,241,1536
21,90,1536
21,74,1536
21,48,1536
21,20,1536
22,408,468
22,377,468
22,357,468
22,344,468
22,325,468
22,296,468
22,226,468
22,188,468
22,156,468
22,98,468
22,75,468
22,57,468
22,15,468
23,1494,1566
23,1480,1566
23,1325,1566
23,1291,1566
23,1268,1566
23,1253,1566
23,1244,1566
23,1220,1566
23,1196,1566
23,1190,1566
23,1166,1566
23,1145,1566
23,1118,1566
23,1109,1566
23,1091,1566
23,1076,1566
23,1055,1566
23,1043,1566
23,1025,1566
23,980,1566
23,944,1566
23,935,1566
23,926,1566
23,893,1566
23,875,1566
23,863,1566
23,848,1566
23,806,1566
23,794,1566
23,770,1566
23,749,1566
23,731,1566
23,713,1566
23,695,1566
23,677,1566
23,644,1566
23,626,1566
23,605,1566
23,536,1566
23,524,1566
23,521,1566
23,485,1566
23,459,1566
23,376,1566
23,346,1566
23,302,1566
23,277,1566
23,275,1566
23,193,1566
23,185,1566
23,7,1566
24,968,969
24,922,969
24,915,969
24,842,969
24,815,969
24,741,969
24,707,969
24,699,969
24,689,969
24,685,969
24,621,969
24,602,969
24,592,969
24,582,969
24,505,969
24,465,969
24,260,969
24,140,969
24,102,969
24,51,969
24,44,969
24,22,969
24,9,969
25,222,309
25,254,309
25,261,309
25,308,309
26,90,771
26,110,771
26,191,771
26,313,771
26,332,771
26,401,771
26,410,771
26,412,771
26,552,771
26,615,771
26,639,771
26,670,771
27,8,846
27,95,846
27,152,846
27,301,846
27,310,846
27,319,846
27,327,846
27,345,846
27,443,846
27,554,846
27,614,846
27,650,846
27,845,846
28,27,273
28,111,273
28,160,273
28,214,273
28,272,273
29,56,1347
29,172,1347
29,200,1347
29,203,1347
29,289,1347
29,399,1347
29,475,1347
29,551,1347
29,729,1347
29,759,1347
29,959,1347
29,1191,1347
29,1248,1347
29,1284,1347
29,1346,1347
30,36,318
30,74,318
30,136,318
30,194,318
30,223,318
30.1,7,228
30.1,94,228
30.1,111,228
30.1,220,228
31,143,144
31,1,144
32,578,579
32,495,579
32,466,579
32,432,579
32,376,579
32,263,579
32,232,579
32,173,579
32,148,579
33,55,453
33,77,453
33,186,453
33,210,453
33,295,453
33,323,453
33,345,453
33,358,453
33,413,453
33,452,453
34,133,330
34,137,330
34,227,330
34,268,330
34,311,330
35,70,213
36,257,258
36,251,258
36,231,258
36,225,258
36,216,258
36,148,258
36,130,258
37,20,2316
37,71,2316
37,74,2316
37,108,2316
37,125,2316
37,127,2316
37,211,2316
37,297,2316
37,386,2316
37,395,2316
37,450,2316
37,556,2316
37,581,2316
37,600,2316
37,644,2316
37,706,2316
37,728,2316
37,782,2316
37,786,2316
37,824,2316
37,826,2316
37,842,2316
37,867,2316
37,889,2316
37,910,2316
37,913,2316
37,920,2316
37,957,2316
37,968,2316
37,1000,2316
37,1011,2316
37,1033,2316
37,1050,2316
37,1060,2316
37,1095,2316
37,1116,2316
37,1129,2316
37,1160,2316
37,1187,2316
37,1196,2316
37,1277,2316
37,1337,2316
37,1410,2316
37,1457,2316
37,1488,2316
37,1580,2316
37,1617,2316
37,1736,2316
37,1898,2316
37,2033,2316
37,2063,2316
37,2075,2316
37,2135,2316
37,2162,2316
37,2222,2316
37,2226,2316
37,2313,2316
38,1,264
38,72,264
38,129,264
38,197,264
39,228,396
39,260,396
39,319,396
39,349,396
39,359,396
40,96,1689
40,104,1689
40,147,1689
40,255,1689
40,369,1689
40,409,1689
40,417,1689
40,495,1689
40,518,1689
40,527,1689
40,572,1689
40,687,1689
40,720,1689
40,746,1689
40,790,1689
40,808,1689
40,839,1689
40,876,1689
40,992,1689
40,1106,1689
40,1187,1689
40,1260,1689
40,1331,1689
40,1589,1689
40,1645,1689
41,705,774
41,540,774
41,518,774
41,487,774
42,1301,1302
42,1242,1302
42,1238,1302
42,1212,1302
42,1168,1302
42,1154,1302
42,1038,1302
42,1023,1302
42,979,1302
42,941,1302
42,853,1302
42,787,1302
42,705,1302
42,683,1302
42,636,1302
42,594,1302
42,330,1302
42,303,1302
42,249,1302
42,218,1302
43,72,609
43,125,609
43,194,609
43,291,609
43,330,609
43,416,609
43,425,609
43,608,609
44,292,348
44,269,348
44,144,348
44,76,348
46,932,933
46,893,933
46,873,933
46,722,933
46,653,933
46,560,933
46,514,933
46,512,933
46,485,933
46,121,933
47,74,2910
47,80,2910
47,82,2910
47,100,2910
47,138,2910
47,236,2910
47,278,2910
47,296,2910
47,305,2910
47,325,2910
47,342,2910
47,377,2910
47,384,2910
47,406,2910
47,509,2910
47,534,2910
47,540,2910
47,542,2910
47,585,2910
47,689,2910
47,701,2910
47,738,2910
47,742,2910
47,848,2910
47,1040,2910
47,1124,2910
47,1160,2910
47,1238,2910
47,1289,2910
47,1304,2910
47,1309,2910
47,1377,2910
47,1392,2910
47,1408,2910
47,1424,2910
47,1426,2910
47,1457,2910
47,1580,2910
47,1607,2910
47,1679,2910
47,1755,2910
47,1793,2910
47,1841,2910
47,1853,2910
47,1904,2910
47,1964,2910
47,2003,2910
47,2030,2910
47,2063,2910
47,2087,2910
47,2089,2910
47,2099,2910
47,2105,2910
47,2126,2910
47,2171,2910
47,2224,2910
47,2244,2910
47,2270,2910
47,2281,2910
47,2294,2910
47,2360,2910
47,2449,2910
47,2454,2910
47,2512,2910
47,2527,2910
47,2540,2910
47,2604,2910
47,2632,2910
47,2711,2910
47,2735,2910
47,2760,2910
47,2872,2910
47,2909,2910
48,429,627
48,249,627
48,124,627
48,111,627
48,89,627
49,734,735
49,710,735
49,642,735
49,524,735
49,491,735
49,419,735
49,395,735
49,194,735
49,63,735
49,22,735
49,14,735
50,746,795
50,640,795
50,582,795
50,578,795
50,562,795
50,547,795
50,539,795
50,514,795
50,380,795
50,374,795
50,365,795
50,337,795
50,298,795
50,263,795
50,246,795
50,158,795
50,133,795
50,74,795
50,45,795
50,37,795
51,650,897
51,552,897
51,387,897
51,324,897
51,284,897
51,190,897
51,6,897
52,1103,1104
52,1028,1104
52,911,1104
52,860,1104
52,573,1104
52,484,1104
52,470,1104
52,434,1104
52,347,1104
52,344,1104
52,322,1104
52,170,1104
52,138,1104
52,113,1104
52,110,1104
52,107,1104
52,21,1104
53,542,543
53,431,543
53,275,543
53,209,543
53,119,543
53,117,543
53,107,543
53,53,543
54,860,870
54,818,870
54,806,870
54,799,870
54,791,870
54,731,870
54,575,870
54,571,870
54,569,870
54,518,870
54,509,870
54,494,870
54,332,870
54,174,870
54,157,870
54,39,870
55,8,414
55,15,414
55,44,414
55,89,414
55,204,414
55,285,414
55,323,414
55,358,414
55,413,414
56,7,2463
56,253,2463
56,399,2463
56,413,2463
56,467,2463
56,505,2463
56,574,2463
56,653,2463
56,742,2463
56,752,2463
56,856,2463
56,878,2463
56,893,2463
56,911,2463
56,938,2463
56,1065,2463
56,1325,2463
56,1400,2463
56,1403,2463
56,1468,2463
56,1517,2463
56,1524,2463
56,1634,2463
56,1637,2463
56,1790,2463
56,1823,2463
56,1846,2463
56,1850,2463
56,1869,2463
56,1956,2463
56,1997,2463
56,2016,2463
56,2053,2463
56,2102,2463
56,2119,2463
56,2163,2463
56,2186,2463
56,2288,2463
56,2325,2463
56,2377,2463
56,2407,2463
57,28,1638
57,57,1638
57,96,1638
57,256,1638
57,269,1638
57,272,1638
57,284,1638
57,292,1638
57,305,1638
57,318,1638
57,341,1638
57,392,1638
57,416,1638
57,418,1638
57,425,1638
57,446,1638
57,452,1638
57,468,1638
57,479,1638
57,489,1638
57,615,1638
57,663,1638
57,782,1638
57,800,1638
57,977,1638
57,1083,1638
57,1103,1638
57,1304,1638
57,1307,1638
57,1311,1638
57,1313,1638
57,1418,1638
57,1444,1638
57,1539,1638
58,177,639
58,282,639
58,369,639
58,401,639
58,545,639
58,598,639
58,623,639
59,1,291
59,11,291
59,57,291
59,94,291
59,149,291
59,179,291
59,270,291
59,290,291
60,119,495
60,175,495
60,238,495
60,250,495
60,335,495
61,55,255
61,95,255
61,122,255
61,238,255
61,254,255
62,74,459
62,82,459
62,177,459
62,186,459
62,234,459
62,340,459
62,432,459
62,458,459
63,92,522
63,133,522
63,177,522
63,232,522
63,241,522
63,258,522
63,268,522
63,317,522
63,342,522
63,362,522
63,379,522
63,396,522
63,440,522
63,451,522
63,463,522
63,521,522
64,21,2625
64,59,2625
64,144,2625
64,156,2625
64,173,2625
64,197,2625
64,218,2625
64,305,2625
64,353,2625
64,356,2625
64,399,2625
64,425,2625
64,431,2625
64,491,2625
64,610,2625
64,916,2625
64,1010,2625
64,1040,2625
64,1156,2625
64,1162,2625
64,1234,2625
64,1423,2625
64,1494,2625
64,1595,2625
64,1676,2625
64,1722,2625
64,1767,2625
64,1773,2625
64,1803,2625
64,1815,2625
64,1916,2625
64,1919,2625
64,1933,2625
64,2178,2625
64,2339,2625
64,2400,2625
64,2434,2625
64,2580,2625
65,14,693
65,43,693
65,179,693
65,181,693
65,233,693
65,269,693
65,296,693
65,303,693
65,323,693
65,378,693
65,428,693
65,558,693
65,560,693
65,590,693
65,602,693
65,604,693
65,627,693
65,665,693
65,686,693
65,689,693
65,692,693
66,1,1059
66,11,1059
66,116,1059
66,137,1059
66,166,1059
66,272,1059
66,274,1059
66,399,1059
66,440,1059
66,513,1059
66,533,1059
66,611,1059
66,645,1059
66,665,1059
66,674,1059
66,696,1059
66,781,1059
66,784,1059
66,801,1059
66,809,1059
66,893,1059
66,916,1059
66,1007,1059
66,1048,1059
66.1,284,381
66.1,268,381
66.1,224,381
66.1,167,381
66.1,78,381
66.1,70,381
66.2,179,213
66.2,113,213
66.2,64,213
66.2,62,213
67,1,1143
67,116,1143
67,142,1143
67,165,1143
67,208,1143
67,290,1143
67,383,1143
67,437,1143
67,485,1143
67,511,1143
67,515,1143
67,548,1143
67,683,1143
67,725,1143
67,814,1143
67,836,1143
67,860,1143
67,899,1143
67,961,1143
67,1028,1143
67,1102,1143
67,1109,1143
67,1142,1143
68,88,1440
68,150,1440
68,206,1440
68,215,1440
68,217,1440
68,235,1440
68,326,1440
68,369,1440
68,378,1440
68,395,1440
68,443,1440
68,977,1440
68,995,1440
68,1034,1440
68,1229,1440
68,1264,1440
68,1301,1440
68,1316,1440
68,1325,1440
68,1335,1440
68,1355,1440
68,1389,1440
68,1400,1440
68,1439,1440
69,28,162
69,161,162
70,108,2940
70,115,2940
70,119,2940
70,174,2940
70,243,2940
70,254,2940
70,276,2940
70,426,2940
70,467,2940
70,503,2940
70,552,2940
70,572,2940
70,663,2940
70,683,2940
70,698,2940
70,721,2940
70,749,2940
70,757,2940
70,804,2940
70,826,2940
70,971,2940
70,973,2940
70,1007,2940
70,1034,2940
70,1039,2940
70,1043,2940
70,1057,2940
70,1126,2940
70,1174,2940
70,1188,2940
70,1205,2940
70,1232,2940
70,1310,2940
70,1381,2940
70,1403,2940
70,1410,2940
70,1412,2940
70,1481,2940
70,1484,2940
70,1517,2940
70,1559,2940
70,1580,2940
70,1586,2940
70,1588,2940
70,1772,2940
70,1817,2940
70,1835,2940
70,1841,2940
70,1916,2940
70,1924,2940
70,1952,2940
70,1965,2940
70,2081,2940
70,2110,2940
70,2126,2940
70,2203,2940
70,2225,2940
70,2291,2940
70,2315,2940
70,2345,2940
70,2370,2940
70,2480,2940
70,2525,2940
70,2540,2940
70,2648,2940
70,2682,2940
70,2781,2940
70,2901,2940
70,2939,2940
71,15,402
71,103,402
71,212,402
71,230,402
71,257,402
71,270,402
71,290,402
71,302,402
72,2179,2238
72,2156,2238
72,2153,2238
72,2124,2238
72,2006,2238
72,1994,2238
72,1900,2238
72,1876,2238
72,1858,2238
72,1742,2238
72,1686,2238
72,1655,2238
72,1589,2238
72,1523,2238
72,1481,2238
72,1265,2238
72,1163,2238
72,1097,2238
72,1018,2238
72,963,2238
72,908,2238
72,830,2238
72,713,2238
72,551,2238
72,525,2238
72,467,2238
72,417,2238
72,383,2238
72,335,2238
72,320,2238
72,288,2238
72,231,2238
72,199,2238
72,192,2238
72,170,2238
72,138,2238
72,65,2238
72,29,2238
73,503,570
73,477,570
73,450,570
73,438,570
73,291,570
73,152,570
73,150,570
73,96,570
73,71,570
73,57,570
73,43,570
73,10,570
74,201,912
74,314,912
74,316,912
74,509,912
74,527,912
74,563,912
74,582,912
74,684,912
74,770,912
74,798,912
74,806,912
74,899,912
75,1325,1386
75,908,1386
75,896,1386
75,734,1386
75,618,1386
75,568,1386
75,515,1386
75,431,1386
75,334,1386
75,238,1386
75,201,1386
75,93,1386
76,1256,1278
76,1247,1278
76,1059,1278
76,972,1278
76,942,1278
76,604,1278
76,533,1278
76,455,1278
76,434,1278
76,419,1278
76,330,1278
76,269,1278
76,235,1278
76,194,1278
76,191,1278
76,176,1278
76,164,1278
76,113,1278
77,1,717
77,249,717
77,312,717
77,350,717
77,419,717
77,442,717
77,640,717
77,668,717
77,674,717
78,165,1050
78,210,1050
78,543,1050
78,557,1050
78,574,1050
78,594,1050
78,598,1050
78,623,1050
78,752,1050
78,774,1050
78,823,1050
78,840,1050
78,930,1050
78,944,1050
78,954,1050
78,988,1050
78,1049,1050
79,38,993
79,41,993
79,53,993
79,61,993
79,222,993
79,245,993
79,253,993
79,330,993
79,364,993
79,687,993
79,743,993
79,830,993
79,843,993
79,911,993
79,913,993
79,992,993
80,19,1236
80,61,1236
80,80,1236
80,166,1236
80,250,1236
80,368,1236
80,395,1236
80,493,1236
80,580,1236
80,611,1236
80,657,1236
80,663,1236
80,820,1236
80,839,1236
80,992,1236
80,1100,1236
80,1194,1236
80,1200,1236
80,1220,1236
81,71,1173
81,87,1173
81,179,1173
81,239,1173
81,319,1173
81,359,1173
81,440,1173
81,499,1173
81,514,1173
81,526,1173
81,549,1173
81,565,1173
81,623,1173
81,748,1173
81,817,1173
81,839,1173
81,878,1173
81,924,1173
81,936,1173
81,958,1173
81,962,1173
81,1016,1173
81,1119,1173
81,1141,1173
81,1172,1173
82,350,390
82,297,390
82,273,390
83,854,855
83,771,855
83,618,855
83,576,855
83,515,855
83,505,855
83,388,855
83,356,855
83,219,855
83,211,855
83,132,855
83,113,855
83,62,855
83,55,855
83,43,855
83,5,855
84,1,606
84,87,606
84,95,606
84,155,606
84,172,606
84,183,606
84,309,606
84,398,606
84,598,606
84,605,606
85,526,594
85,514,594
85,493,594
85,459,594
85,369,594
85,216,594
85,197,594
85,187,594
85,171,594
85,28,594
85.1,136,213
85.1,56,213
86,30,822
86,78,822
86,97,822
86,225,822
86,237,822
86,252,822
86,402,822
86,429,822
86,463,822
86,479,822
86,530,822
86,576,822
86,752,822
86,761,822
87,206,414
87,305,414
87,318,414
87,406,414
87,413,414
88,20,345
88,174,345
88,224,345
88,244,345
88,312,345
88,344,345
89,60,480
89,72,480
89,93,480
89,179,480
89,318,480
89,368,480
89,399,480
90,99,1923
90,189,1923
90,209,1923
90,221,1923
90,413,1923
90,537,1923
90,541,1923
90,674,1923
90,767,1923
90,818,1923
90,883,1923
90,893,1923
90,955,1923
90,1539,1923
90,1637,1923
90,1736,1923
90,1738,1923
90,1757,1923
90,1796,1923
90,1798,1923
90,1871,1923
90,1880,1923
90,1896,1923
91,8,951
91,12,951
91,67,951
91,81,951
91,312,951
91,490,951
91,531,951
91,647,951
91,873,951
92,7,663
92,147,663
92,316,663
92,486,663
93,266,1467
93,295,1467
93,307,1467
93,320,1467
93,396,1467
93,479,1467
93,523,1467
93,536,1467
93,589,1467
93,615,1467
93,662,1467
93,827,1467
93,923,1467
93,1093,1467
93,1461,1467
95,13,1293
95,38,1293
95,86,1293
95,129,1293
95,199,1293
95,242,1293
95,545,1293
95,590,1293
95,669,1293
95,721,1293
95,794,1293
95,860,1293
95,915,1293
95,968,1293
95,1044,1293
95,1049,1293
95,1057,1293
95,1090,1293
95,1120,1293
95,1274,1293
95,1292,1293
96,11,675
96,49,675
96,55,675
96,146,675
96,177,675
96,348,675
96,360,675
96,405,675
96,410,675
96,463,675
96,474,675
96,545,675
96,584,675
96,656,675
96,667,675
98,32,594
98,67,594
98,132,594
98,137,594
98,336,594
98,396,594
98,504,594
98,541,594
98,557,594
98,574,594
98,593,594
99,74,771
99,135,771
99,214,771
99,231,771
99,273,771
99,340,771
99,358,771
99,485,771
99,545,771
99,659,771
99,673,771
99,710,771
99.1,55,372
99.1,76,372
99.1,177,372
99.1,279,372
99.1,342,372
99.1,371,372
100,50,768
100,109,768
100,166,768
100,258,768
100,338,768
100,386,768
100,494,768
100,497,768
100,524,768
100,574,768
100,628,768
101,48,2286
101,224,2286
101,306,2286
101,402,2286
101,501,2286
101,514,2286
101,542,2286
101,585,2286
101,613,2286
101,617,2286
101,665,2286
101,738,2286
101,750,2286
101,828,2286
101,1062,2286
101,1105,2286
101,1116,2286
101,1134,2286
101,1269,2286
101,1283,2286
101,1512,2286
101,1554,2286
101,1650,2286
101,1804,2286
101,1875,2286
101,1950,2286
101,2031,2286
101,2102,2286
101,2228,2286
101,2235,2286
102,848,849
102,775,849
102,623,849
102,612,849
102,558,849
102,450,849
102,259,849
102,130,849
102,34,849
103,765,864
103,617,864
103,540,864
103,524,864
103,482,864
103,461,864
103,417,864
103,150,864
103,110,864
103,102,864
103,83,864
103,12,864
104,638,668
104,630,668
104,611,668
104,540,668
104,515,668
104,491,668
104,296,668
104,150,668
104,13,668
104,6,668
105,7,1392
105,9,1392
105,94,1392
105,104,1392
105,185,1392
105,206,1392
105,264,1392
105,281,1392
105,410,1392
105,452,1392
105,486,1392
105,541,1392
105,549,1392
105,555,1392
105,586,1392
105,611,1392
105,617,1392
105,660,1392
105,695,1392
105,710,1392
105,716,1392
105,719,1392
105,728,1392
105,783,1392
105,832,1392
105,1001,1392
105,1033,1392
105,1045,1392
105,1161,1392
105,1169,1392
105,1213,1392
105,1279,1392
105,1345,1392
105,1366,1392
106,10,870
106,73,870
106,75,870
106,97,870
106,104,870
106,126,870
106,174,870
106,194,870
106,197,870
106,209,870
106,292,870
106,299,870
106,301,870
106,307,870
106,374,870
106,494,870
106,513,870
106,546,870
106,556,870
106,596,870
106,704,870
106,720,870
106,724,870
106,734,870
106,821,870
106,860,870
107,98,552
107,119,552
107,137,552
107,167,552
107,197,552
107,199,552
107,260,552
107,329,552
107,349,552
107,461,552
107,531,552
107,551,552
108,25,1623
108,43,1623
108,118,1623
108,131,1623
108,190,1623
108,202,1623
108,239,1623
108,411,1623
108,432,1623
108,442,1623
108,538,1623
108,564,1623
108,653,1623
108,696,1623
108,700,1623
108,745,1623
108,798,1623
108,822,1623
108,870,1623
108,878,1623
108,916,1623
108,925,1623
108,950,1623
108,1043,1623
108,1061,1623
108,1072,1623
108,1090,1623
108,1131,1623
108,1138,1623
108,1163,1623
108,1256,1623
108,1367,1623
109,41,237
109,43,237
109,135,237
109,236,237
110,42,7563
110,65,7563
110,85,7563
110,99,7563
110,101,7563
110,119,7563
110,174,7563
110,224,7563
110,246,7563
110,340,7563
110,365,7563
110,449,7563
110,498,7563
110,599,7563
110,625,7563
110,736,7563
110,941,7563
110,954,7563
110,983,7563
110,995,7563
110,1038,7563
110,1108,7563
110,1173,7563
110,1236,7563
110,1430,7563
110,1553,7563
110,1603,7563
110,1751,7563
110,1774,7563
110,1847,7563
110,1963,7563
110,2112,7563
110,2137,7563
110,2198,7563
110,2298,7563
110,2349,7563
110,2363,7563
110,2527,7563
110,2538,7563
110,2728,7563
110,2802,7563
110,2931,7563
110,2947,7563
110,2951,7563
110,2995,7563
110,3017,7563
110,3058,7563
110,3120,7563
110,3138,7563
110,3158,7563
110,3191,7563
110,3199,7563
110,3252,7563
110,3420,7563
110,3487,7563
110,3542,7563
110,3596,7563
110,3605,7563
110,3677,7563
110,3700,7563
110,3737,7563
110,3852,7563
110,3949,7563
110,4058,7563
110,4074,7563
110,4254,7563
110,4276,7563
110,4310,7563
110,4351,7563
110,4462,7563
110,4537,7563
110,4583,7563
110,4614,7563
110,4730,7563
110,4875,7563
110,4883,7563
110,4928,7563
110,4937,7563
110,4951,7563
110,5060,7563
110,5103,7563
110,5322,7563
110,5330,7563
110,5364,7563
110,5443,7563
110,5460,7563
110,5486,7563
110,5516,7563
110,5588,7563
110,5675,7563
110,5727,7563
110,5742,7563
110,5778,7563
110,5786,7563
110,5841,7563
110,5861,7563
110,5883,7563
110,5951,7563
110,5959,7563
110,5969,7563
110,6100,7563
110,6123,7563
110,6177,7563
110,6345,7563
110,6389,7563
110,6499,7563
110,6674,7563
110,6733,7563
110,6758,7563
110,6828,7563
110,6872,7563
110,6980,7563
110,7039,7563
110,7064,7563
110,7193,7563
110,7222,7563
110,7238,7563
110,7265,7563
110,7272,7563
110,7405,7563
110,7529,7563
110,7542,7563
110,7562,7563
111,19,1986
111,75,1986
111,149,1986
111,170,1986
111,294,1986
111,360,1986
111,397,1986
111,427,1986
111,438,1986
111,527,1986
111,601,1986
111,629,1986
111,735,1986
111,770,1986
111,788,1986
111,852,1986
111,975,1986
111,991,1986
111,1049,1986
111,1074,1986
111,1105,1986
111,1145,1986
111,1180,1986
111,1236,1986
111,1257,1986
111,1265,1986
111,1380,1986
111,1499,1986
111,1501,1986
111,1508,1986
111,1528,1986
111,1541,1986
111,1589,1986
111,1598,1986
111,1643,1986
111,1723,1986
111,1735,1986
111,1742,1986
111,1818,1986
111,1858,1986
111,1922,1986
111,1946,1986
112,2258,2259
112,2238,2259
112,2129,2259
112,2053,2259
112,1918,2259
112,1864,2259
112,1764,2259
112,1600,2259
112,1548,2259
112,1383,2259
112,1292,2259
112,1282,2259
112,1272,2259
112,1234,2259
112,1185,2259
112,1003,2259
112,993,2259
112,923,2259
112,883,2259
112,783,2259
112,777,2259
112,732,2259
112,674,2259
112,626,2259
112,408,2259
112,404,2259
112,318,2259
112,258,2259
112,224,2259
112,129,2259
112,70,2259
113,73,1515
113,129,1515
113,179,1515
113,227,1515
113,251,1515
113,281,1515
113,294,1515
113,328,1515
113,340,1515
113,381,1515
113,449,1515
113,519,1515
113,521,1515
113,677,1515
113,697,1515
113,734,1515
113,807,1515
113,906,1515
113,928,1515
113,1031,1515
113,1155,1515
113,1178,1515
113,1205,1515
113,1207,1515
113,1297,1515
113,1356,1515
113,1457,1515
113,1514,1515
114,120,285
114,116,285
114,113,285
114,97,285
114,46,285
115,7,1197
