gene,length,class
69,162,noRV
70,2940,MMM: Other membrane proteins
71,402,Conserved Hypotheticals
72,2238,SMM: Energy Metabolism-TCA cycle
73,570,SMM: Repressors/activators
74,912,SMM: Misc oxidoreductases and oxygenases
75,1386,SMM: Intermediate Metabolism-Gluconeogenesis
76,1278,SMM: Amino acid synthesis-Serine family
77,717,MMM: DNA replication; repair; recombination and restriction/modification
78,1050,MMM: Other membrane proteins
79,993,MMM: Other membrane proteins
80,1236,Conserved Hypotheticals
81,1173,Other: Miscellaneous Transferases
82,390,MMM: Other membrane proteins
83,855,SMM: Misc oxidoreductases and oxygenases
84,606,SMM: Repressors/activators
85,594,noRV
85.1,213,noRV
86,822,Unknowns
87,414,Unknowns
88,345,SMM: Repressors/activators
89,480,SMM: Misc oxidoreductases and oxygenases
90,1923,SMM: Misc oxidoreductases and oxygenases
91,951,SMM: Misc oxidoreductases and oxygenases
92,663,SMM: Misc oxidoreductases and oxygenases
93,1467,SMM: Misc oxidoreductases and oxygenases
95,1293,SMM: Misc oxidoreductases and oxygenases
96,675,Unknowns
98,594,SMM: Biosynthesis of Biotin
99,771,Unknowns
99.1,372,noRV
100,768,Conserved Hypotheticals
101,2286,Cell Process: Transport/Binding: cations
102,849,Unknowns
103,864,Other: IS elements: REP13E12 family
104,668,Other: IS elements: REP13E12 family
105,1392,Other: PPE family of proteins
106,870,Conserved Hypotheticals
107,552,Unknowns
108,1623,SMM: Degradation of fatty acids
109,237,Unknowns
110,7563,SMM: Polyketide and non-ribosomal peptide synthesis
111,1986,MMM: Other membrane proteins
112,2259,Cell Process: Transport/Binding: cations
113,1515,Unknowns
114,285,MMM: Ribosomal protein synthesis and modification
115,1197,Conserved Hypotheticals
116,4878,Cell Process: Transport/Binding: cations
116.1,126,noRV
117,207,Unknowns
118,1602,Other: PE family: PGRS subfamily
119,855,MMM: Other membrane proteins
120,2058,Other: Miscellaneous Transferases
121,957,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
122,1263,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
123,1161,Conserved Hypotheticals
124,189,noRV
125,633,Conserved Hypotheticals
125.1,951,SMM: Repressors/activators
126,1749,SMM: Degradation of Carbon compounds
127,1629,SMM: Degradation of fatty acids
128,2145,MMM: Protein translation and modification
129,435,Unknowns
130,420,Unknowns
131,369,Unknowns
132,1686,Other: PE family: PGRS subfamily
133,1068,MMM: Degradation of Proteins; peptides and glycopeptides
134,1806,MMM: Polysaccharides (cytoplasmic)
135,1368,Conserved Hypotheticals
136,780,Unknowns
137,1041,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
138,456,Conserved Hypotheticals
139,1344,SMM: Degradation of fatty acids
140,1083,SMM: Misc oxidoreductases and oxygenases
141,606,Other: Antibiotic production and resistance
142,903,Cell Process: Detoxification
143,606,SMM: Repressors/activators
144,1326,Other: Cytochrome P450 enzymes
145,549,SMM: Misc oxidoreductases and oxygenases
146,504,Conserved Hypotheticals
147,1023,SMM: Misc oxidoreductases and oxygenases
148,381,Conserved Hypotheticals
149,411,Unknowns
150,927,Unknowns
151,1479,Cell Process: Transport/Binding: Anions
152,843,SMM: Repressors/activators
153,954,Conserved Hypotheticals
154,942,Conserved Hypotheticals
155,1476,SMM: Misc oxidoreductases and oxygenases
156,882,SMM: Misc oxidoreductases and oxygenases
157,969,SMM: Misc oxidoreductases and oxygenases
158,288,Conserved Hypotheticals
159,126,noRV
160,1767,Other: PE family: PE subfamily
161,1602,Other: PE family: PE subfamily
162,831,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
163,1224,SMM: Degradation of fatty acids
164,1431,SMM: Intermediate Metabolism-General
165,1428,SMM: Intermediate Metabolism-General
167,645,SMM: Repressors/activators
168,1407,Other: PE family: PE subfamily
169,1509,Other: PE family: PE subfamily
170,1351,SMM: Misc oxidoreductases and oxygenases
171,1152,SMM: Misc oxidoreductases and oxygenases
172,456,SMM: Misc oxidoreductases and oxygenases
173,486,Conserved Hypotheticals
174,672,SMM: Repressors/activators
175,1557,SMM: Degradation of fatty acids
176,798,Other: Virulence
177,678,Other: Virulence
178,1584,Other: Virulence
179,1041,Other: Virulence
180,1521,Other: Virulence
181,1593,Other: Virulence
182,1170,MMM: Cell membrane-Lipoproteins
183,1548,Other: Virulence
184,585,Conserved Hypotheticals
185,963,Conserved Hypotheticals
186,555,Conserved Hypotheticals
187,735,Conserved Hypotheticals
188,1110,MMM: Cell membrane-Lipoproteins
189,1359,MMM: Other membrane proteins
190,735,Conserved Hypotheticals
191,1113,MMM:RNA synthesis; RNA modification and DNA transcription
192,972,SMM: Misc oxidoreductases and oxygenases
193,750,Conserved Hypotheticals
194,510,Conserved Hypotheticals
195,2076,SMM: Degradation of Carbon compounds
196,162,noRV
197,657,Other: Miscellaneous Transferases
198,432,Other: Miscellaneous Transferases
199,1728,SMM: Amino acid synthesis-Branched aa
200,291,Conserved Hypotheticals
201,1242,MMM: Other membrane proteins
202,1101,Conserved Hypotheticals
203,1827,Unknowns
204,3726,MMM: Other membrane proteins
204.1,150,noRV
205,771,SMM: Repressors/activators
206,585,SMM: Repressors/activators
207,2250,Conserved Hypotheticals
208,1992,MMM: Degradation of Proteins; peptides and glycopeptides
209,549,Conserved Hypotheticals
210,690,MMM: Other membrane proteins
211,498,Conserved Hypotheticals
212,2901,MMM: Conserved membrane proteins
213,411,Unknowns
214,1239,MMM: Other membrane proteins
215,1104,MMM: Other membrane proteins
216,2835,MMM: Conserved membrane proteins
217,735,Conserved Hypotheticals
218,792,Conserved Hypotheticals
219,1086,Unknowns
220,1446,Unknowns
221,1821,SMM: Intermediate Metabolism-Gluconeogenesis
222,972,SMM: Repressors/activators
223,1314,Other: Miscellaneous Transferases
224,1614,SMM: Degradation of fatty acids
225,1122,SMM: Degradation of fatty acids
226,1014,Conserved Hypotheticals
227,822,MMM: Esterases and Lipases
228,1329,SMM: Misc oxidoreductases and oxygenases
229,549,Unknowns
230,1212,MMM: Esterases and Lipases
231,1350,Conserved Hypotheticals
232,789,SMM: Degradation of fatty acids
233,1464,SMM: Misc oxidoreductases and oxygenases
234,765,Other: Miscellaneous Transferases
235,1155,MMM: Other membrane proteins
236,1731,MMM: Other membrane proteins
237,1266,MMM: Other membrane proteins
238,1140,Other: Miscellaneous Transferases
239,681,Conserved Hypotheticals
240,1038,Conserved Hypotheticals
241,1707,SMM: Degradation of fatty acids
242,690,SMM: Repressors/activators
244,945,SMM: 2'-deoxyribonucleotide metabolism
245,1404,SMM: Degradation of Carbon compounds
246,1449,Conserved Hypotheticals
247,4203,MMM: Other membrane proteins
250,549,noRV
251,1167,MMM: Cell membrane-Lipoproteins
252,615,SMM: Repressors/activators
253,234,Conserved Hypotheticals
254,438,Unknowns
255,843,Unknowns
256,1365,SMM: Biosyn of fatty and mycolic acids
257,1323,SMM: Degradation of fatty acids
258,1836,SMM: Degradation of fatty acids
259,489,SMM: Misc oxidoreductases and oxygenases
260,1350,MMM: Other membrane proteins
261,747,SMM: Misc oxidoreductases and oxygenases
262,1941,SMM: Misc oxidoreductases and oxygenases
263,822,MMM: Other membrane proteins
264,234,Unknowns
265,480,Cell Process: Chaperones/Heat Shock
266,2562,SMM: Respiration- anaerobic
267,525,SMM: Biosyn of Cobalamin
268,1485,SMM: Biosyn of Cobalamin
269,1671,Other: PPE family of proteins
270,108,noRV
270.1,375,Unknowns
270.2,249,noRV
271,456,Conserved Hypotheticals
272,744,Conserved Hypotheticals
273,1146,SMM: Two component systems
274,1410,Cell Process: Transport/Binding: Anions
275,546,Other: Antibiotic production and resistance
276,903,Conserved Hypotheticals
277,675,Conserved Hypotheticals
278,993,Cell Process: Transport/Binding: cations
279,3629,Conserved Hypotheticals
280,1392,Cell Process: Transport/Binding: Anions
281,510,Unknowns
282,1185,Conserved Hypotheticals
283,1683,SMM: Degradation of fatty acids
284,2196,SMM: Degradation of fatty acids
285,1017,Unknowns
286,621,SMM: Repressors/activators
286.1,624,Unknowns
287,726,SMM: Degradation of fatty acids
288,921,Conserved Hypotheticals
289,429,Conserved Hypotheticals
290,258,noRV
291,2718,Other: PE family: PGRS subfamily
291.1,156,noRV
291.2,132,noRV
291.3,195,noRV
291.4,1797,noRV
292,1728,Other: PPE family of proteins
293,909,Conserved Hypotheticals
294,108,noRV
295,1842,Conserved Hypotheticals
296,1617,Conserved Hypotheticals
297,3993,Conserved Hypotheticals
298,309,Other: PE family: PE subfamily
299,1542,Other: PPE family of proteins
300,294,Conserved Hypotheticals
301,291,Conserved Hypotheticals
302,888,Conserved Hypotheticals
303,1419,MMM: Other membrane proteins
304,1245,MMM: Other membrane proteins
305,996,MMM: Other membrane proteins
306,1203,Conserved Hypotheticals
307,786,Conserved Hypotheticals
308,804,Unknowns
310,1398,SMM: Intermediate Metabolism-of sulphur
311,1869,Other: PE family: PGRS subfamily
312,228,Unknowns
313,150,Unknowns
314,426,Conserved Hypotheticals
315,633,SMM: Repressors/activators
316,909,SMM: Misc oxidoreductases and oxygenases
318,9561,Other: PPE family of proteins
319,672,SMM: Biosyn of Cobalamin
320,483,Unknowns
321,717,Conserved Hypotheticals
322,657,Unknowns
323,492,Conserved Hypotheticals
324,1230,Unknowns
325,99,noRV
326,1863,Conserved Hypotheticals
327,387,Unknowns
328,186,noRV
328.1,246,noRV
328.2,411,MMM: Other membrane proteins
329,885,MMM: Degradation of Polysaccharides; lipopolysaccharides and phospholipids
330,615,noRV
332,738,SMM: Intermediate Metabolism-General
333,777,MMM: Other membrane proteins
334,669,MMM: Degradation of Proteins; peptides and glycopeptides
335,663,Conserved Hypotheticals
336,573,SMM: 2'-deoxyribonucleotide metabolism
337,1332,SMM: Intermediate Metabolism-sugar nucleotides
338,672,Conserved Hypotheticals
339,681,SMM: Repressors/activators
340,225,Unknowns
341,456,Unknowns
342,1350,Other: Cytochrome P450 enzymes
343,603,SMM: Repressors/activators
344,627,Conserved Hypotheticals
345,741,Unknowns
346,1167,SMM: Misc oxidoreductases and oxygenases
347,990,Unknowns
348,867,SMM: Intermediate Metabolism-sugar nucleotides
349,516,Other: PE family: PE subfamily
350,1512,Conserved Hypotheticals
351,1290,SMM: Amino acid synthesis-Aspartate family
352,2649,Conserved Hypotheticals
353,2499,Conserved Hypotheticals
355,540,Unknowns
356,1446,Conserved Hypotheticals
357,1923,Conserved Hypotheticals
357.1,1482,Conserved Hypotheticals
359,561,MMM: Cell membrane-Lipoproteins
360,417,MMM: Other membrane proteins
361,1464,Cell Process: Transport/Binding: amino acids
362,987,Conserved Hypotheticals
363,654,SMM: Repressors/activators
364,543,Unknowns
365,1878,Cell Process: Chaperones/Heat Shock
366,618,Cell Process: Chaperones/Heat Shock
367,1188,Cell Process: Chaperones/Heat Shock
368,381,Cell Process: Chaperones/Heat Shock
369,558,Other: PPE family of proteins
370,9828,Other: PPE family of proteins
372,630,Unknowns
373,1299,SMM: Purine ribonucleotide biosynthesis
374,648,Unknowns
375,639,Conserved Hypotheticals
376,414,Unknowns
377,828,MMM: Other membrane proteins
378,1383,Cell Process: Transport/Binding: cations
379,1035,SMM: Energy metabolism-Glycolysis
380,684,Conserved Hypotheticals
381,1131,Conserved Hypotheticals
382,594,Conserved Hypotheticals
383,429,Unknowns
384,1212,Conserved Hypotheticals
384.1,603,SMM: Misc oxidoreductases and oxygenases
385,897,SMM: Misc oxidoreductases and oxygenases
386,594,MMM: Other membrane proteins
387,756,Conserved Hypotheticals
388,2400,SMM: Misc oxidoreductases and oxygenases
389,480,SMM: Misc oxidoreductases and oxygenases
390,903,SMM: Misc oxidoreductases and oxygenases
391,966,SMM: Repressors/activators
392,579,Conserved Hypotheticals
393,552,Other: Miscellaneous Transferases
394,765,Unknowns
395,540,SMM: Pyrimidine ribonucleotide biosynthesis
396,855,MMM: Other membrane proteins
397,2547,Cell Process: Chaperones/Heat Shock
398,1278,SMM: Misc oxidoreductases and oxygenases
399,3279,SMM: Repressors/activators
400,1332,Other: PPE family of proteins
401,1260,SMM: Purine ribonucleotide biosynthesis
402,1221,SMM: Amino acid synthesis-Aspartate family
403,1413,SMM: Misc oxidoreductases and oxygenases
404,1326,Conserved Hypotheticals
404.1,720,Unknowns
405,405,Unknowns
406,417,Unknowns
407,471,Conserved Hypotheticals
407.1,249,noRV
408,642,Unknowns
409,1230,MMM: Cell membrane-Lipoproteins
410,1191,SMM: Degradation of fatty acids
411,372,MMM: Other membrane proteins
412,2877,MMM: Conserved membrane proteins
413,885,noRV
414,327,noRV
415,456,MMM: Conserved membrane proteins
416,114,noRV
417,1758,SMM: Degradation of fatty acids
418,4209,SMM: Polyketide and non-ribosomal peptide synthesis
419,759,Conserved Hypotheticals
420,1011,Other: Coenzyme F420-dependent enzymes
421,2073,SMM: Degradation of Carbon compounds
422,1158,SMM: Respiration-Electron Transport
423,2310,SMM: Ser/Thr protein kinases and phosphoprotein phosphatases
424,987,Cell Process: Transport/Binding: amino acids
425,1320,MMM: Other membrane proteins
426,654,MMM: DNA replication; repair; recombination and restriction/modification
427,669,SMM: Biosyn of Thiamine
428,1023,Conserved Hypotheticals
429,207,Conserved Hypotheticals
430,759,SMM: Biosyn of Thiamine
431,153,noRV
432,1482,MMM: Cell membrane-Lipoproteins
433,1497,MMM: Cell membrane-Lipoproteins
434,411,Unknowns
435,630,Unknowns
436,798,SMM: Biosyn of Thiamine
437,1650,SMM: Biosyn of Pyridine nucleotide
438,279,Unknowns
440,4620,Cell Process: Transport/Binding: cations
441,576,Unknowns
442,876,MMM: DNA replication; repair; recombination and restriction/modification
443,948,Unknowns
444,594,MMM: Protein translation and modification
445,513,Unknowns
446,495,MMM: Surface polysaccharides; lipopolysaccharides; proteins and antigens
447,723,Cell Process: Detoxification
448,1152,Conserved Hypotheticals
449,657,Conserved Hypotheticals
450,111,noRV
451,2187,Cell Process: Cell division
452,867,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
453,696,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
454,1218,SMM: Biosyn of Molybdopterin
455,1017,SMM: Misc oxidoreductases and oxygenases
456,1623,Cell Process: Chaperones/Heat Shock
457,429,MMM: Other membrane proteins
458,1464,Other: PPE family of proteins
459,558,Unknowns
460,699,Conserved Hypotheticals
461,564,MMM:RNA synthesis; RNA modification and DNA transcription
462,810,Conserved Hypotheticals
463,1449,SMM: Modification of fatty & mycolic acids
464,732,Conserved Hypotheticals
465,1320,SMM: Misc oxidoreductases and oxygenases
466,2904,MMM: Conserved membrane proteins
467,423,MMM: Conserved membrane proteins
468,762,SMM: Repressors/activators
469,1557,Other: PPE family of proteins
470,555,Conserved Hypotheticals
471,528,Unknowns
472,915,SMM: Degradation of fatty acids
472.1,471,noRV
473,2022,MMM: Degradation of Proteins; peptides and glycopeptides
474,1524,SMM: Misc oxidoreductases and oxygenases
475,492,Conserved Hypotheticals
476,279,Conserved Hypotheticals
477,603,MMM: Other membrane proteins
478,1395,SMM: Energy Metabolism-pyruvate dehydrogenase
479,294,Conserved Hypotheticals
480,573,Conserved Hypotheticals
481,1425,SMM: Repressors/activators
482,795,Conserved Hypotheticals
483,1287,SMM: Energy Metabolism-Glyoxylate bypass
484,861,SMM: Degradation of fatty acids
485,878,SMM: Modification of fatty & mycolic acids
486,864,SMM: Modification of fatty & mycolic acids
487,441,noRV
488,489,Unknowns
489,771,SMM: Repressors/activators
490,1227,MMM: Other membrane proteins
491,423,SMM: Repressors/activators
492,138,noRV
493,615,MMM: Other membrane proteins
494,153,MMM: Other membrane proteins
495,546,MMM: Other membrane proteins
496,675,SMM: Salvage of nucleotides and nucleosides
497,1047,MMM: Other membrane proteins
498,1023,Conserved Hypotheticals
499,525,Unknowns
500,1110,MMM: Murein sacculus and peptidoglycan
501,1356,Conserved Hypotheticals
502,756,SMM: Misc oxidoreductases and oxygenases
503,1317,SMM: Repressors/activators
504,1443,Conserved Hypotheticals
505,552,Conserved Hypotheticals
506,108,noRV
507,606,MMM: Other membrane proteins
508,750,SMM: Energy metabolism-Glycolysis
509,1233,SMM: Two component systems
510,693,SMM: Two component systems
511,1443,SMM: Misc oxidoreductases and oxygenases
512,678,noRV
513,990,Conserved Hypotheticals
514,729,SMM: Repressors/activators
515,891,Conserved Hypotheticals
516,1035,Conserved Hypotheticals
517,933,MMM: Other membrane proteins
518,843,Conserved Hypotheticals
519,876,Unknowns
520,888,SMM: Amino acid synthesis-Glutamate family
521,237,noRV
522,1131,SMM: Degradation of Carbon compounds
523,1077,Conserved Hypotheticals
524,969,SMM: Modification of fatty & mycolic acids
525,597,Conserved Hypotheticals
526,927,SMM: Amino acid synthesis-Serine family
527,438,MMM: Conserved membrane proteins
528,2907,MMM: Conserved membrane proteins
529,294,Unknowns
530,1488,SMM: Biosyn of Heme and Porphyrin
531,939,SMM: Biosyn of Heme and Porphyrin
532,1707,SMM: Amino acid synthesis-Serine family
533,990,SMM: Biosyn of Heme and Porphyrin
534,549,MMM: Other membrane proteins
535,300,MMM: Other membrane proteins
536,1605,Conserved Hypotheticals
537,480,Conserved Hypotheticals
538,1233,Other: Miscellaneous Transferases
539,696,Unknowns
540,117,noRV
541,903,Conserved Hypotheticals
542,351,Other: Miscellaneous Transferases
543,306,Unknowns
544,1305,Cell Process: Transport/Binding: amino acids
545,405,Conserved Hypotheticals
546,1389,SMM: Biosyn of Heme and Porphyrin
547,609,Conserved Hypotheticals
548,651,Conserved Hypotheticals
549,780,SMM: Respiration- aerobic
550,1590,MMM: Other membrane proteins
551,975,SMM: Respiration- aerobic
552,1218,Conserved Hypotheticals
553,162,noRV
554,318,MMM: Other membrane proteins
555,183,noRV
556,1869,Other: PE family: PGRS subfamily
557,1008,SMM: Biosyn of fatty and mycolic acids
558,879,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
559,777,SMM: Salvage of nucleotides and nucleosides
560,1041,SMM: Degradation of Carbon compounds
562,1434,MMM: Other membrane proteins
563,1647,MMM: Other membrane proteins
564,657,Other: Miscellaneous Transferases
565,636,Conserved Hypotheticals
566,1482,MMM: Other membrane proteins
567,1089,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
568,528,Conserved Hypotheticals
569,279,MMM: Other membrane proteins
570,1254,Cell Process: Transport/Binding: Anions
571,387,Conserved Hypotheticals
572,885,SMM: Misc oxidoreductases and oxygenases
573,945,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
573.1,135,noRV
574,414,Conserved Hypotheticals
575,267,Unknowns
576,156,noRV
577,1716,SMM: Degradation of fatty acids
578,1719,SMM: Repressors/activators
579,981,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
580,789,Cell Process: Detoxification
581,1665,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
582,516,MMM: Other membrane proteins
583,1227,Conserved Hypotheticals
584,660,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
585,339,MMM: Other membrane proteins
586,726,Other: Miscellaneous Transferases
587,1227,SMM: Misc oxidoreductases and oxygenases
588,1008,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
589,861,Cell Process: Chaperones/Heat Shock
590,1026,SMM: Acyltransferases; mycoloyltransferases; and phospholipid synthesis
591,1461,SMM: Misc oxidoreductases and oxygenases
592,492,Conserved Hypotheticals
593,1023,Other: Miscellaneous Transferases
594,1419,Other: Cytochrome P450 enzymes
595,405,Conserved Hypotheticals
596,2208,SMM: 2'-deoxyribonucleotide metabolism
597,1356,Conserved Hypotheticals
598,123,noRV
599,342,Unknowns
600,168,noRV
601,1392,Conserved Hypotheticals
602,1143,Conserved Hypotheticals
603,105,noRV
604,1167,SMM: Misc oxidoreductases and oxygenases
605,1314,SMM: Repressors/activators
606,792,Conserved Hypotheticals
607,3921,Other: PE family: PGRS subfamily
608,480,noRV
608.1,711,Conserved Hypotheticals
609,579,Unknowns
610,627,Unknowns
611,687,MMM: Cell membrane-Lipoproteins
612,2634,Unknowns
613,1569,MMM: Other membrane proteins
614,609,noRV
615,723,SMM: Repressors/activators
616,798,Other: Virulence
617,888,Other: Virulence
618,1215,Other: Virulence
619,864,Other: Virulence
620,255,noRV
621,1323,Other: Virulence
622,1527,Other: Virulence
623,1209,MMM: Cell membrane-Lipoproteins
624,1620,Other: Virulence
625,396,Conserved Hypotheticals
626,258,Conserved Hypotheticals
627,1236,Conserved Hypotheticals
628,414,Conserved Hypotheticals
629,264,Conserved Hypotheticals
630,1134,SMM: Two component systems
631,744,SMM: Two component systems
632,951,Unknowns
633,609,Other: IS elements: Others
635,822,Other: IS elements: Others
636,444,Unknowns
637,246,Conserved Hypotheticals
638,402,Conserved Hypotheticals
638.1,174,noRV
639,336,noRV
640,1158,SMM: Misc oxidoreductases and oxygenases
641,384,Unknowns
642,606,Unknowns
643,2568,Unknowns
644,894,Conserved Hypotheticals
645,261,MMM: Other membrane proteins
645.1,234,Unknowns
645.2,228,noRV
646,402,Conserved Hypotheticals
647,1184,SMM: Degradation of Carbon compounds
648,1092,SMM: Degradation of Carbon compounds
649,1065,MMM: Other membrane proteins
650,1092,MMM: Other membrane proteins
651,255,Conserved Hypotheticals
652,396,Conserved Hypotheticals
653,837,MMM: Other membrane proteins
654,261,Conserved Hypotheticals
655,495,Conserved Hypotheticals
656,1152,Conserved Hypotheticals
657,1686,MMM: DNA replication; repair; recombination and restriction/modification
658,3285,MMM: DNA replication; repair; recombination and restriction/modification
659,3294,MMM: DNA replication; repair; recombination and restriction/modification
660,696,SMM: Degradation of fatty acids
661,861,Unknowns
662,714,Cell Process: Detoxification
662.1,252,noRV
663,168,noRV
664,477,Conserved Hypotheticals
665,429,Unknowns
666,501,Conserved Hypotheticals
667,243,Cell Process: Protein and peptide secretion
668,717,MMM:RNA synthesis; RNA modification and DNA transcription
669,429,MMM: Ribosomal protein synthesis and modification
669.1,708,MMM: Ribosomal protein synthesis and modification
670,948,SMM: Modification of fatty & mycolic acids
671,906,SMM: Modification of fatty & mycolic acids
672,954,SMM: Modification of fatty & mycolic acids
673,891,SMM: Modification of fatty & mycolic acids
674,1011,MMM: Esterases and Lipases
675,1467,Conserved Hypotheticals
676,4197,Conserved Hypotheticals
677,747,SMM: Biosyn of fatty and mycolic acids
679,909,SMM: Repressors/activators
680,537,MMM: Ribosomal protein synthesis and modification
681,393,MMM: Ribosomal protein synthesis and modification
682,774,SMM: Repressors/activators
683,1506,SMM: Misc oxidoreductases and oxygenases
684,1011,MMM: Other membrane proteins
685,384,SMM: Misc oxidoreductases and oxygenases
686,156,Conserved Hypotheticals
687,717,MMM: Other membrane proteins
688,309,Conserved Hypotheticals
689,252,Conserved Hypotheticals
690,438,Conserved Hypotheticals
691,381,Unknowns
692,2364,SMM: Intermediate Metabolism-of sulphur
692.1,327,Unknowns
693,339,Conserved Hypotheticals
694,231,Unknowns
695,3537,MMM:RNA synthesis; RNA modification and DNA transcription
696,3951,MMM:RNA synthesis; RNA modification and DNA transcription
697,375,noRV
698,1915,Conserved Hypotheticals
699,759,MMM: Degradation of DNA
700,843,MMM: Cell membrane-Lipoproteins
701,1629,SMM: Degradation of fatty acids
702,939,SMM: Degradation of fatty acids
703,723,Unknowns
704,792,SMM: Degradation of fatty acids
705,2895,MMM: Conserved membrane proteins
706,429,MMM: Conserved membrane proteins
706.1,498,Unknowns
707,498,MMM: Other membrane proteins
708,375,MMM: Other membrane proteins
709,657,SMM: Repressors/activators
710,375,MMM: Ribosomal protein synthesis and modification
711,471,MMM: Ribosomal protein synthesis and modification
712,2106,MMM: Protein translation and modification
713,1191,MMM: Protein translation and modification
714,798,MMM: Other membrane proteins
715,828,SMM: Misc oxidoreductases and oxygenases
716,1221,SMM: Misc oxidoreductases and oxygenases
717,255,Unknowns
717.1,276,noRV
718,1050,Unknowns
719,597,SMM: Repressors/activators
719.1,189,noRV
719.2,312,Unknowns
720,1176,SMM: Biosyn of Menaquinone; PQQ; ubiquinone and other terpenoids
721,1260,SMM: Respiration- aerobic
722,756,Conserved Hypotheticals
723,1413,Other: Miscellaneous Transferases
724,1440,SMM: Misc oxidoreductases and oxygenases
724.1,204,noRV
725,99,Conserved Hypotheticals
726,648,Unknowns
726.1,291,noRV
727,306,MMM: Ribosomal protein synthesis and modification
728,654,MMM: Ribosomal protein synthesis and modification
729,672,MMM: Ribosomal protein synthesis and modification
730,303,MMM: Ribosomal protein synthesis and modification
731,843,MMM: Ribosomal protein synthesis and modification
732,282,MMM: Ribosomal protein synthesis and modification
733,594,MMM: Ribosomal protein synthesis and modification
734,825,MMM: Ribosomal protein synthesis and modification
735,417,MMM: Ribosomal protein synthesis and modification
736,234,MMM: Ribosomal protein synthesis and modification
737,408,MMM: Ribosomal protein synthesis and modification
738,2274,SMM: Intermediate Metabolism-of sulphur
739,900,Conserved Hypotheticals
740,942,MMM: Other membrane proteins
740.1,132,noRV
741,369,MMM: Ribosomal protein synthesis and modification
741.1,318,MMM: Ribosomal protein synthesis and modification
742,564,MMM: Ribosomal protein synthesis and modification
742.1,186,MMM: Ribosomal protein synthesis and modification
743,399,MMM: Ribosomal protein synthesis and modification
744,540,MMM: Ribosomal protein synthesis and modification
745,369,MMM: Ribosomal protein synthesis and modification
